




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
RNA biosynthetic process (GO:0032774)	222	182	179.85	+	1.01	4.45E-01
cellular protein metabolic process (GO:0044267)	1173	960	950.28	+	1.01	3.64E-01
cellular component organization or biogenesis (GO:0071840)	1937	1585	1569.22	+	1.01	3.07E-01
nucleosome mobilization (GO:0042766)	11	9	8.91	+	1.01	5.33E-01
axial cellular bud site selection (GO:0007120)	11	9	8.91	+	1.01	5.33E-01
ceramide metabolic process (GO:0006672)	11	9	8.91	+	1.01	5.33E-01
maltose metabolic process (GO:0000023)	11	9	8.91	+	1.01	5.33E-01
protein catabolic process in the vacuole (GO:0007039)	11	9	8.91	+	1.01	5.33E-01
regulation of translational termination (GO:0006449)	11	9	8.91	+	1.01	5.33E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	22	18	17.82	+	1.01	5.15E-01
error-prone translesion synthesis (GO:0042276)	11	9	8.91	+	1.01	5.33E-01
response to alcohol (GO:0097305)	11	9	8.91	+	1.01	5.33E-01
nuclear RNA surveillance (GO:0071027)	33	27	26.73	+	1.01	5.05E-01
double-strand break repair via break-induced replication (GO:0000727)	22	18	17.82	+	1.01	5.15E-01
positive regulation of growth (GO:0045927)	22	18	17.82	+	1.01	5.15E-01
positive regulation of response to nutrient levels (GO:0032109)	11	9	8.91	+	1.01	5.33E-01
positive regulation of response to extracellular stimulus (GO:0032106)	11	9	8.91	+	1.01	5.33E-01
positive regulation of response to external stimulus (GO:0032103)	11	9	8.91	+	1.01	5.33E-01
purine-containing compound transmembrane transport (GO:0072530)	11	9	8.91	+	1.01	5.33E-01
positive regulation of binding (GO:0051099)	11	9	8.91	+	1.01	5.33E-01
establishment of organelle localization (GO:0051656)	110	90	89.11	+	1.01	4.77E-01
cellular macromolecule metabolic process (GO:0044260)	1778	1454	1440.41	+	1.01	3.30E-01
protein metabolic process (GO:0019538)	1252	1023	1014.28	+	1.01	3.80E-01
nucleic acid-templated transcription (GO:0097659)	218	178	176.61	+	1.01	4.68E-01
transcription, DNA-templated (GO:0006351)	218	178	176.61	+	1.01	4.68E-01
invasive filamentous growth (GO:0036267)	38	31	30.78	+	1.01	5.09E-01
DNA-templated transcription, elongation (GO:0006354)	65	53	52.66	+	1.01	5.00E-01
double-strand break repair via homologous recombination (GO:0000724)	65	53	52.66	+	1.01	5.00E-01
negative regulation of protein phosphorylation (GO:0001933)	27	22	21.87	+	1.01	5.18E-01
protein acylation (GO:0043543)	70	57	56.71	+	1.01	5.03E-01
cellular response to oxygen-containing compound (GO:1901701)	43	35	34.84	+	1.00	5.12E-01
cellular process (GO:0009987)	4291	3491	3476.25	+	1.00	1.96E-01
microtubule-based process (GO:0007017)	75	61	60.76	+	1.00	5.05E-01
organophosphate biosynthetic process (GO:0090407)	241	196	195.24	+	1.00	4.88E-01
negative regulation of cellular protein metabolic process (GO:0032269)	91	74	73.72	+	1.00	5.03E-01
negative regulation of protein metabolic process (GO:0051248)	91	74	73.72	+	1.00	5.03E-01
response to inorganic substance (GO:0010035)	48	39	38.89	+	1.00	5.14E-01
NADPH regeneration (GO:0006740)	16	13	12.96	+	1.00	5.33E-01
histone lysine methylation (GO:0034968)	16	13	12.96	+	1.00	5.33E-01
regulation of cell growth (GO:0001558)	32	26	25.92	+	1.00	5.20E-01
regulation of glycogen metabolic process (GO:0070873)	16	13	12.96	+	1.00	5.33E-01
regulation of DNA replication (GO:0006275)	48	39	38.89	+	1.00	5.14E-01
cellular response to reactive oxygen species (GO:0034614)	16	13	12.96	+	1.00	5.33E-01
response to topologically incorrect protein (GO:0035966)	64	52	51.85	+	1.00	5.10E-01
spliceosomal snRNP assembly (GO:0000387)	16	13	12.96	+	1.00	5.33E-01
RNA 3'-end processing (GO:0031123)	69	56	55.90	+	1.00	5.13E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	53	43	42.94	+	1.00	5.17E-01
membrane lipid metabolic process (GO:0006643)	74	60	59.95	+	1.00	5.15E-01
response to endoplasmic reticulum stress (GO:0034976)	74	60	59.95	+	1.00	5.15E-01
protein targeting to membrane (GO:0006612)	58	47	46.99	+	1.00	5.19E-01
membrane lipid biosynthetic process (GO:0046467)	58	47	46.99	+	1.00	5.19E-01
biological_process (GO:0008150)	4661	3776	3776.00		1.00	1.00E00
transcription by RNA polymerase II (GO:0006366)	142	115	115.04	-	1.00	5.23E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	21	17	17.01	-	1.00	5.63E-01
positive regulation of chromatin organization (GO:1905269)	21	17	17.01	-	1.00	5.63E-01
negative regulation of hydrolase activity (GO:0051346)	21	17	17.01	-	1.00	5.63E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	126	102	102.08	-	1.00	5.23E-01
response to starvation (GO:0042594)	63	51	51.04	-	1.00	5.35E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	278	225	225.22	-	1.00	5.12E-01
steroid metabolic process (GO:0008202)	47	38	38.08	-	1.00	5.38E-01
aerobic respiration (GO:0009060)	73	59	59.14	-	1.00	5.27E-01
negative regulation of molecular function (GO:0044092)	78	63	63.19	-	1.00	5.24E-01
internal protein amino acid acetylation (GO:0006475)	52	42	42.13	-	1.00	5.33E-01
glycogen metabolic process (GO:0005977)	26	21	21.06	-	1.00	5.52E-01
peptidyl-lysine acetylation (GO:0018394)	52	42	42.13	-	1.00	5.33E-01
internal peptidyl-lysine acetylation (GO:0018393)	52	42	42.13	-	1.00	5.33E-01
energy reserve metabolic process (GO:0006112)	26	21	21.06	-	1.00	5.52E-01
regulation of chromatin silencing at telomere (GO:0031938)	26	21	21.06	-	1.00	5.52E-01
organophosphate metabolic process (GO:0019637)	363	293	294.08	-	1.00	4.89E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	57	46	46.18	-	1.00	5.29E-01
mRNA export from nucleus (GO:0006406)	57	46	46.18	-	1.00	5.29E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	347	280	281.11	-	1.00	4.88E-01
regulation of macromolecule biosynthetic process (GO:0010556)	719	580	582.48	-	1.00	4.66E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	708	571	573.57	-	1.00	4.65E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	31	25	25.11	-	1.00	5.44E-01
regulation of peptide transport (GO:0090087)	31	25	25.11	-	1.00	5.44E-01
regulation of establishment of protein localization (GO:0070201)	31	25	25.11	-	1.00	5.44E-01
glycolipid metabolic process (GO:0006664)	36	29	29.16	-	.99	5.37E-01
liposaccharide metabolic process (GO:1903509)	36	29	29.16	-	.99	5.37E-01
negative regulation of gene expression (GO:0010629)	354	285	286.78	-	.99	4.72E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	282	227	228.46	-	.99	4.78E-01
mitochondrial genome maintenance (GO:0000002)	41	33	33.22	-	.99	5.31E-01
negative regulation of transcription, DNA-templated (GO:0045892)	225	181	182.28	-	.99	4.81E-01
G1/S transition of mitotic cell cycle (GO:0000082)	46	37	37.27	-	.99	5.26E-01
cell cycle G1/S phase transition (GO:0044843)	46	37	37.27	-	.99	5.26E-01
organic hydroxy compound metabolic process (GO:1901615)	138	111	111.80	-	.99	4.95E-01
cellular ion homeostasis (GO:0006873)	148	119	119.90	-	.99	4.91E-01
histone acetylation (GO:0016573)	51	41	41.32	-	.99	5.22E-01
negative regulation of protein modification process (GO:0031400)	51	41	41.32	-	.99	5.22E-01
ion homeostasis (GO:0050801)	158	127	128.00	-	.99	4.88E-01
response to heat (GO:0009408)	61	49	49.42	-	.99	5.14E-01
regulation of gene expression (GO:0010468)	762	612	617.32	-	.99	4.18E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	259	208	209.82	-	.99	4.67E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	101	81	81.82	-	.99	4.93E-01
negative regulation of macromolecule metabolic process (GO:0010605)	444	356	359.70	-	.99	4.33E-01
regulation of biosynthetic process (GO:0009889)	750	601	607.59	-	.99	3.95E-01
cellular component organization (GO:0016043)	1709	1369	1384.51	-	.99	3.07E-01
regulation of cellular biosynthetic process (GO:0031326)	748	599	605.97	-	.99	3.89E-01
regulation of dephosphorylation (GO:0035303)	50	40	40.51	-	.99	5.10E-01
glutamine family amino acid biosynthetic process (GO:0009084)	25	20	20.25	-	.99	5.37E-01
mRNA splicing, via spliceosome (GO:0000398)	100	80	81.01	-	.99	4.84E-01
negative regulation of kinase activity (GO:0033673)	25	20	20.25	-	.99	5.37E-01
invasive growth in response to glucose limitation (GO:0001403)	35	28	28.35	-	.99	5.23E-01
RNA surveillance (GO:0071025)	35	28	28.35	-	.99	5.23E-01
Golgi vesicle docking (GO:0048211)	5	4	4.05	-	.99	6.19E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	30	24	24.30	-	.99	5.29E-01
positive regulation of DNA binding (GO:0043388)	5	4	4.05	-	.99	6.19E-01
xenobiotic metabolic process (GO:0006805)	5	4	4.05	-	.99	6.19E-01
meiotic spindle organization (GO:0000212)	5	4	4.05	-	.99	6.19E-01
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	5	4	4.05	-	.99	6.19E-01
regulation of vesicle fusion (GO:0031338)	5	4	4.05	-	.99	6.19E-01
proton-transporting V-type ATPase complex assembly (GO:0070070)	5	4	4.05	-	.99	6.19E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	5	4	4.05	-	.99	6.19E-01
endoplasmic reticulum tubular network organization (GO:0071786)	5	4	4.05	-	.99	6.19E-01
protein import into peroxisome matrix, docking (GO:0016560)	5	4	4.05	-	.99	6.19E-01
ER-associated misfolded protein catabolic process (GO:0071712)	10	8	8.10	-	.99	5.78E-01
membrane assembly (GO:0071709)	5	4	4.05	-	.99	6.19E-01
glutathione catabolic process (GO:0006751)	5	4	4.05	-	.99	6.19E-01
regulation of cyclase activity (GO:0031279)	5	4	4.05	-	.99	6.19E-01
response to amino acid (GO:0043200)	5	4	4.05	-	.99	6.19E-01
regulation of antisense RNA transcription (GO:0060194)	5	4	4.05	-	.99	6.19E-01
5S class rRNA transcription by RNA polymerase III (GO:0042791)	5	4	4.05	-	.99	6.19E-01
regulation of vacuolar transport (GO:1903335)	5	4	4.05	-	.99	6.19E-01
amine biosynthetic process (GO:0009309)	10	8	8.10	-	.99	5.78E-01
snoRNA transcription (GO:0009302)	5	4	4.05	-	.99	6.19E-01
S-adenosylmethionine cycle (GO:0033353)	5	4	4.05	-	.99	6.19E-01
post-chaperonin tubulin folding pathway (GO:0007023)	5	4	4.05	-	.99	6.19E-01
manganese ion homeostasis (GO:0055071)	10	8	8.10	-	.99	5.78E-01
L-phenylalanine catabolic process (GO:0006559)	5	4	4.05	-	.99	6.19E-01
negative regulation of catalytic activity (GO:0043086)	65	52	52.66	-	.99	5.00E-01
regulation of phosphatidylcholine metabolic process (GO:0150172)	5	4	4.05	-	.99	6.19E-01
protein deglycosylation (GO:0006517)	5	4	4.05	-	.99	6.19E-01
glycoprotein catabolic process (GO:0006516)	5	4	4.05	-	.99	6.19E-01
negative regulation of apoptotic process (GO:0043066)	5	4	4.05	-	.99	6.19E-01
siderophore transport (GO:0015891)	5	4	4.05	-	.99	6.19E-01
thiamine transport (GO:0015888)	5	4	4.05	-	.99	6.19E-01
regulation of histone deacetylation (GO:0031063)	5	4	4.05	-	.99	6.19E-01
regulation of phosphatidylcholine biosynthetic process (GO:2001245)	5	4	4.05	-	.99	6.19E-01
negative regulation of septation initiation signaling (GO:0031030)	5	4	4.05	-	.99	6.19E-01
regulation of septation initiation signaling (GO:0031029)	5	4	4.05	-	.99	6.19E-01
nucleotide catabolic process (GO:0009166)	10	8	8.10	-	.99	5.78E-01
pore complex assembly (GO:0046931)	5	4	4.05	-	.99	6.19E-01
plasmid partitioning (GO:0030541)	5	4	4.05	-	.99	6.19E-01
negative regulation of division septum assembly (GO:0010974)	5	4	4.05	-	.99	6.19E-01
transport along microtubule (GO:0010970)	15	12	12.15	-	.99	5.59E-01
N-glycan processing (GO:0006491)	10	8	8.10	-	.99	5.78E-01
peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion (GO:0071432)	5	4	4.05	-	.99	6.19E-01
azole transmembrane transport (GO:0045117)	10	8	8.10	-	.99	5.78E-01
nucleotide-sugar transmembrane transport (GO:0015780)	5	4	4.05	-	.99	6.19E-01
regulation of protein localization by the Cvt pathway (GO:2001159)	5	4	4.05	-	.99	6.19E-01
carbohydrate phosphorylation (GO:0046835)	15	12	12.15	-	.99	5.59E-01
regulation of RNA export from nucleus (GO:0046831)	5	4	4.05	-	.99	6.19E-01
ribonucleoside catabolic process (GO:0042454)	5	4	4.05	-	.99	6.19E-01
fatty acid elongation (GO:0030497)	5	4	4.05	-	.99	6.19E-01
nuclear migration along microtubule (GO:0030473)	15	12	12.15	-	.99	5.59E-01
cellular biogenic amine biosynthetic process (GO:0042401)	10	8	8.10	-	.99	5.78E-01
cellular response to ethanol (GO:0071361)	5	4	4.05	-	.99	6.19E-01
protein geranylgeranylation (GO:0018344)	5	4	4.05	-	.99	6.19E-01
negative regulation of protein localization to nucleolus (GO:1904750)	5	4	4.05	-	.99	6.19E-01
protein insertion into ER membrane (GO:0045048)	5	4	4.05	-	.99	6.19E-01
negative regulation of glycogen metabolic process (GO:0070874)	5	4	4.05	-	.99	6.19E-01
peptidyl-arginine N-methylation (GO:0035246)	5	4	4.05	-	.99	6.19E-01
regulation of double-strand break repair via nonhomologous end joining (GO:2001032)	5	4	4.05	-	.99	6.19E-01
histone H3-K79 methylation (GO:0034729)	5	4	4.05	-	.99	6.19E-01
snoRNA catabolic process (GO:0016077)	5	4	4.05	-	.99	6.19E-01
snRNA catabolic process (GO:0016076)	5	4	4.05	-	.99	6.19E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	15	12	12.15	-	.99	5.59E-01
nuclear pore localization (GO:0051664)	10	8	8.10	-	.99	5.78E-01
peptidyl-arginine methylation (GO:0018216)	5	4	4.05	-	.99	6.19E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	5	4	4.05	-	.99	6.19E-01
translesion synthesis (GO:0019985)	15	12	12.15	-	.99	5.59E-01
pyrimidine nucleoside metabolic process (GO:0006213)	5	4	4.05	-	.99	6.19E-01
regulation of formin-nucleated actin cable assembly (GO:0090337)	10	8	8.10	-	.99	5.78E-01
regulation of protein deacetylation (GO:0090311)	5	4	4.05	-	.99	6.19E-01
mitochondrial ADP transmembrane transport (GO:0140021)	5	4	4.05	-	.99	6.19E-01
response to cadmium ion (GO:0046686)	10	8	8.10	-	.99	5.78E-01
cellular response to alcohol (GO:0097306)	5	4	4.05	-	.99	6.19E-01
peptidyl-arginine modification (GO:0018195)	5	4	4.05	-	.99	6.19E-01
nuclear cell cycle DNA replication initiation (GO:1902315)	5	4	4.05	-	.99	6.19E-01
2-oxoglutarate metabolic process (GO:0006103)	5	4	4.05	-	.99	6.19E-01
mitochondria-nucleus signaling pathway (GO:0031930)	5	4	4.05	-	.99	6.19E-01
negative regulation of cell septum assembly (GO:1901892)	5	4	4.05	-	.99	6.19E-01
positive regulation of Ras protein signal transduction (GO:0046579)	5	4	4.05	-	.99	6.19E-01
regulation of COPII vesicle coating (GO:0003400)	5	4	4.05	-	.99	6.19E-01
cell cycle DNA replication initiation (GO:1902292)	5	4	4.05	-	.99	6.19E-01
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	5	4	4.05	-	.99	6.19E-01
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	5	4	4.05	-	.99	6.19E-01
lactate metabolic process (GO:0006089)	10	8	8.10	-	.99	5.78E-01
hexitol metabolic process (GO:0006059)	5	4	4.05	-	.99	6.19E-01
karyogamy involved in conjugation with cellular fusion (GO:0000742)	10	8	8.10	-	.99	5.78E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	5	4	4.05	-	.99	6.19E-01
cell wall chitin biosynthetic process (GO:0006038)	15	12	12.15	-	.99	5.59E-01
UDP-glucose metabolic process (GO:0006011)	5	4	4.05	-	.99	6.19E-01
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	5	4	4.05	-	.99	6.19E-01
regulation of cellular amino acid biosynthetic process (GO:2000282)	5	4	4.05	-	.99	6.19E-01
negative regulation of DNA biosynthetic process (GO:2000279)	10	8	8.10	-	.99	5.78E-01
regulation of ribosomal DNA heterochromatin assembly (GO:0061187)	10	8	8.10	-	.99	5.78E-01
regulation of pseudohyphal growth (GO:2000220)	20	16	16.20	-	.99	5.46E-01
cellular manganese ion homeostasis (GO:0030026)	10	8	8.10	-	.99	5.78E-01
regulation of lyase activity (GO:0051339)	5	4	4.05	-	.99	6.19E-01
protein localization to microtubule cytoskeleton (GO:0072698)	5	4	4.05	-	.99	6.19E-01
nucleotide transmembrane transport (GO:1901679)	15	12	12.15	-	.99	5.59E-01
regulation of mitotic spindle assembly (GO:1901673)	5	4	4.05	-	.99	6.19E-01
CDP-diacylglycerol metabolic process (GO:0046341)	5	4	4.05	-	.99	6.19E-01
ascospore-type prospore membrane formation (GO:0032120)	5	4	4.05	-	.99	6.19E-01
nuclear pore complex assembly (GO:0051292)	5	4	4.05	-	.99	6.19E-01
mitochondrial ATP transmembrane transport (GO:1990544)	5	4	4.05	-	.99	6.19E-01
negative regulation of RNA metabolic process (GO:0051253)	235	188	190.38	-	.99	4.49E-01
replication fork protection (GO:0048478)	5	4	4.05	-	.99	6.19E-01
membrane biogenesis (GO:0044091)	5	4	4.05	-	.99	6.19E-01
microtubule-based transport (GO:0099111)	15	12	12.15	-	.99	5.59E-01
regulation of ARF protein signal transduction (GO:0032012)	5	4	4.05	-	.99	6.19E-01
regulation of adenylate cyclase activity (GO:0045761)	5	4	4.05	-	.99	6.19E-01
maintenance of DNA repeat elements (GO:0043570)	20	16	16.20	-	.99	5.46E-01
negative regulation of glycogen biosynthetic process (GO:0045719)	5	4	4.05	-	.99	6.19E-01
aldehyde catabolic process (GO:0046185)	10	8	8.10	-	.99	5.78E-01
pyrimidine ribonucleoside metabolic process (GO:0046131)	5	4	4.05	-	.99	6.19E-01
nucleus organization (GO:0006997)	55	44	44.56	-	.99	5.06E-01
negative regulation of protein serine/threonine kinase activity (GO:0071901)	15	12	12.15	-	.99	5.59E-01
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	10	8	8.10	-	.99	5.78E-01
spliceosomal complex disassembly (GO:0000390)	5	4	4.05	-	.99	6.19E-01
regulation of RNA splicing (GO:0043484)	5	4	4.05	-	.99	6.19E-01
positive regulation of small GTPase mediated signal transduction (GO:0051057)	5	4	4.05	-	.99	6.19E-01
regulation of cellular respiration (GO:0043457)	10	8	8.10	-	.99	5.78E-01
organelle transport along microtubule (GO:0072384)	15	12	12.15	-	.99	5.59E-01
synaptonemal complex organization (GO:0070193)	15	12	12.15	-	.99	5.59E-01
regulation of protein targeting (GO:1903533)	5	4	4.05	-	.99	6.19E-01
interstrand cross-link repair (GO:0036297)	10	8	8.10	-	.99	5.78E-01
positive regulation of transcription from RNA polymerase II promoter in response to nitrogen starvation (GO:0036278)	5	4	4.05	-	.99	6.19E-01
negative regulation of RNA biosynthetic process (GO:1902679)	229	183	185.52	-	.99	4.44E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	229	183	185.52	-	.99	4.44E-01
transmembrane transport (GO:0055085)	423	338	342.68	-	.99	4.09E-01
cellular homeostasis (GO:0019725)	204	163	165.27	-	.99	4.49E-01
DNA packaging (GO:0006323)	99	79	80.20	-	.99	4.76E-01
regulation of transport (GO:0051049)	99	79	80.20	-	.99	4.76E-01
regulation of cellular localization (GO:0060341)	74	59	59.95	-	.98	4.85E-01
mitotic sister chromatid segregation (GO:0000070)	64	51	51.85	-	.98	4.90E-01
cellular response to stress (GO:0033554)	620	494	502.28	-	.98	3.57E-01
growth of unicellular organism as a thread of attached cells (GO:0070783)	59	47	47.80	-	.98	4.92E-01
filamentous growth of a population of unicellular organisms (GO:0044182)	59	47	47.80	-	.98	4.92E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	44	35	35.65	-	.98	5.01E-01
regulation of RNA biosynthetic process (GO:2001141)	547	435	443.14	-	.98	3.52E-01
regulation of nucleic acid-templated transcription (GO:1903506)	547	435	443.14	-	.98	3.52E-01
regulation of transcription, DNA-templated (GO:0006355)	542	431	439.09	-	.98	3.52E-01
phosphatidylinositol biosynthetic process (GO:0006661)	39	31	31.59	-	.98	5.05E-01
ATP-dependent chromatin remodeling (GO:0043044)	39	31	31.59	-	.98	5.05E-01
regulation of phosphatase activity (GO:0010921)	39	31	31.59	-	.98	5.05E-01
regulation of protein dephosphorylation (GO:0035304)	39	31	31.59	-	.98	5.05E-01
regulation of DNA-dependent DNA replication (GO:0090329)	39	31	31.59	-	.98	5.05E-01
response to nitrogen compound (GO:1901698)	73	58	59.14	-	.98	4.75E-01
microtubule cytoskeleton organization (GO:0000226)	68	54	55.09	-	.98	4.77E-01
cellular chemical homeostasis (GO:0055082)	170	135	137.72	-	.98	4.29E-01
