




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
hexose metabolic process (GO:0019318)	30	0	.55	-	 < 0.01	5.76E-01
COPI coating of Golgi vesicle (GO:0048205)	1	0	.02	-	 < 0.01	9.82E-01
Golgi transport vesicle coating (GO:0048200)	1	0	.02	-	 < 0.01	9.82E-01
inositol catabolic process (GO:0019310)	1	0	.02	-	 < 0.01	9.82E-01
mismatch repair (GO:0006298)	21	0	.39	-	 < 0.01	6.80E-01
nucleotide-excision repair, DNA gap filling (GO:0006297)	4	0	.07	-	 < 0.01	9.29E-01
xenobiotic transport (GO:0042908)	30	0	.55	-	 < 0.01	5.76E-01
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	3	0	.06	-	 < 0.01	9.46E-01
nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	1	0	.02	-	 < 0.01	9.82E-01
xanthine transport (GO:0042906)	1	0	.02	-	 < 0.01	9.82E-01
nucleotide-excision repair, preincision complex assembly (GO:0006294)	1	0	.02	-	 < 0.01	9.82E-01
cell growth (GO:0016049)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046020)	3	0	.06	-	 < 0.01	9.46E-01
pericentric heterochromatin organization (GO:0140462)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine dimer repair (GO:0006290)	2	0	.04	-	 < 0.01	9.64E-01
acyl carnitine transmembrane transport (GO:1902616)	3	0	.06	-	 < 0.01	9.46E-01
thiamine pyrophosphate transmembrane transport (GO:0030974)	2	0	.04	-	 < 0.01	9.64E-01
retrograde protein transport, ER to cytosol (GO:0030970)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900436)	1	0	.02	-	 < 0.01	9.82E-01
regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900434)	1	0	.02	-	 < 0.01	9.82E-01
D-ribose catabolic process (GO:0019303)	1	0	.02	-	 < 0.01	9.82E-01
invasive filamentous growth (GO:0036267)	1	0	.02	-	 < 0.01	9.82E-01
RNA (guanine-N7)-methylation (GO:0036265)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of filamentous growth of a population of unicellular organisms (GO:1900430)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046019)	4	0	.07	-	 < 0.01	9.29E-01
nucleotide-excision repair (GO:0006289)	35	0	.64	-	 < 0.01	5.26E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	0	.02	-	 < 0.01	9.82E-01
base-excision repair, DNA ligation (GO:0006288)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-tyrosine modification (GO:0018212)	2	0	.04	-	 < 0.01	9.64E-01
RNA capping (GO:0036260)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of transcription by glucose (GO:0046016)	1	0	.02	-	 < 0.01	9.82E-01
base-excision repair, gap-filling (GO:0006287)	2	0	.04	-	 < 0.01	9.64E-01
regulation of transcription by glucose (GO:0046015)	3	0	.06	-	 < 0.01	9.46E-01
base-excision repair, base-free sugar-phosphate removal (GO:0006286)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-threonine modification (GO:0018210)	8	0	.15	-	 < 0.01	8.63E-01
base-excision repair, AP site formation (GO:0006285)	5	0	.09	-	 < 0.01	9.12E-01
cellular response to alcohol (GO:0097306)	1	0	.02	-	 < 0.01	9.82E-01
base-excision repair (GO:0006284)	19	0	.35	-	 < 0.01	7.05E-01
maintenance of mitotic sister chromatid cohesion (GO:0034088)	1	0	.02	-	 < 0.01	9.82E-01
response to alcohol (GO:0097305)	1	0	.02	-	 < 0.01	9.82E-01
cytoplasm protein quality control (GO:0140455)	1	0	.02	-	 < 0.01	9.82E-01
transcription-coupled nucleotide-excision repair (GO:0006283)	2	0	.04	-	 < 0.01	9.64E-01
establishment of mitotic sister chromatid cohesion (GO:0034087)	2	0	.04	-	 < 0.01	9.64E-01
regulation of DNA repair (GO:0006282)	4	0	.07	-	 < 0.01	9.29E-01
maintenance of sister chromatid cohesion (GO:0034086)	1	0	.02	-	 < 0.01	9.82E-01
establishment of sister chromatid cohesion (GO:0034085)	3	0	.06	-	 < 0.01	9.46E-01
cellular response to phosphate starvation (GO:0016036)	1	0	.02	-	 < 0.01	9.82E-01
carnitine transmembrane transport (GO:1902603)	1	0	.02	-	 < 0.01	9.82E-01
CENP-A containing nucleosome assembly (GO:0034080)	1	0	.02	-	 < 0.01	9.82E-01
tRNA import into mitochondrion (GO:0016031)	1	0	.02	-	 < 0.01	9.82E-01
proton transmembrane transport (GO:1902600)	87	0	1.60	-	 < 0.01	2.01E-01
regulation of filamentous growth of a population of unicellular organisms (GO:1900428)	1	0	.02	-	 < 0.01	9.82E-01
phosphoenolpyruvate transmembrane transport (GO:0089722)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein kinase A signaling (GO:0010738)	1	0	.02	-	 < 0.01	9.82E-01
protein kinase A signaling (GO:0010737)	3	0	.06	-	 < 0.01	9.46E-01
peptidyl-serine modification (GO:0018209)	29	0	.53	-	 < 0.01	5.87E-01
multivesicular body organization (GO:0036257)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-proline modification (GO:0018208)	26	0	.48	-	 < 0.01	6.20E-01
peptidyl-methionine modification (GO:0018206)	6	0	.11	-	 < 0.01	8.96E-01
protein glutathionylation (GO:0010731)	1	0	.02	-	 < 0.01	9.82E-01
premeiotic DNA replication (GO:0006279)	2	0	.04	-	 < 0.01	9.64E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	5	0	.09	-	 < 0.01	9.12E-01
peptidyl-histidine modification (GO:0018202)	11	0	.20	-	 < 0.01	8.17E-01
peptidyl-glycine modification (GO:0018201)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-glutamic acid modification (GO:0018200)	1	0	.02	-	 < 0.01	9.82E-01
DNA replication termination (GO:0006274)	1	0	.02	-	 < 0.01	9.82E-01
lagging strand elongation (GO:0006273)	7	0	.13	-	 < 0.01	8.79E-01
leading strand elongation (GO:0006272)	6	0	.11	-	 < 0.01	8.96E-01
DNA strand elongation involved in DNA replication (GO:0006271)	20	0	.37	-	 < 0.01	6.93E-01
DNA replication initiation (GO:0006270)	22	0	.40	-	 < 0.01	6.68E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	2	0	.04	-	 < 0.01	9.64E-01
establishment or maintenance of cytoskeleton polarity (GO:0030952)	8	0	.15	-	 < 0.01	8.63E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	0	.02	-	 < 0.01	9.82E-01
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	6	0	.11	-	 < 0.01	8.96E-01
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	.04	-	 < 0.01	9.64E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	0	.09	-	 < 0.01	9.12E-01
cellular response to menadione (GO:0036245)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cell development (GO:0010721)	1	0	.02	-	 < 0.01	9.82E-01
DNA replication, synthesis of RNA primer (GO:0006269)	2	0	.04	-	 < 0.01	9.64E-01
DNA unwinding involved in DNA replication (GO:0006268)	7	0	.13	-	 < 0.01	8.79E-01
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	7	0	.13	-	 < 0.01	8.79E-01
DNA ligation (GO:0006266)	4	0	.07	-	 < 0.01	9.29E-01
DNA topological change (GO:0006265)	3	0	.06	-	 < 0.01	9.46E-01
mitochondrial DNA replication (GO:0006264)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to Golgi apparatus (GO:0034067)	8	0	.15	-	 < 0.01	8.63E-01
DNA-dependent DNA replication (GO:0006261)	68	0	1.25	-	 < 0.01	2.86E-01
DNA replication (GO:0006260)	84	0	1.54	-	 < 0.01	2.13E-01
stress granule assembly (GO:0034063)	4	0	.07	-	 < 0.01	9.29E-01
L-histidine transmembrane transport (GO:0089709)	2	0	.04	-	 < 0.01	9.64E-01
L-histidine transmembrane export from vacuole (GO:0089708)	1	0	.02	-	 < 0.01	9.82E-01
L-lysine transmembrane export from vacuole (GO:0089707)	1	0	.02	-	 < 0.01	9.82E-01
rRNA 5'-end processing (GO:0000967)	8	0	.15	-	 < 0.01	8.63E-01
RNA 5'-end processing (GO:0000966)	13	0	.24	-	 < 0.01	7.88E-01
mitochondrial RNA 5'-end processing (GO:0000964)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular response to oxidative stress (GO:1900407)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitotic cell cycle (GO:0007346)	65	0	1.19	-	 < 0.01	3.02E-01
UDP catabolic process (GO:0006256)	1	0	.02	-	 < 0.01	9.82E-01
endosomal vesicle fusion (GO:0034058)	5	0	.09	-	 < 0.01	9.12E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	63	0	1.16	-	 < 0.01	3.14E-01
protein localization to nuclear inner membrane (GO:0036228)	2	0	.04	-	 < 0.01	9.64E-01
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	1	0	.02	-	 < 0.01	9.82E-01
charged-tRNA amino acid modification (GO:0019988)	2	0	.04	-	 < 0.01	9.64E-01
translesion synthesis (GO:0019985)	9	0	.17	-	 < 0.01	8.48E-01
pyrimidine nucleotide catabolic process (GO:0006244)	2	0	.04	-	 < 0.01	9.64E-01
CTP biosynthetic process (GO:0006241)	3	0	.06	-	 < 0.01	9.46E-01
dCDP biosynthetic process (GO:0006240)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-serine acetylation (GO:0030920)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of transcription from RNA polymerase II promoter by pheromones (GO:0007329)	2	0	.04	-	 < 0.01	9.64E-01
contractile ring contraction (GO:0036213)	1	0	.02	-	 < 0.01	9.82E-01
dTTP biosynthetic process (GO:0006235)	2	0	.04	-	 < 0.01	9.64E-01
dTDP biosynthetic process (GO:0006233)	1	0	.02	-	 < 0.01	9.82E-01
dTMP biosynthetic process (GO:0006231)	2	0	.04	-	 < 0.01	9.64E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	0	.04	-	 < 0.01	9.64E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of cell differentiation (GO:0045596)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cell differentiation (GO:0045595)	3	0	.06	-	 < 0.01	9.46E-01
histone catabolic process (GO:0036205)	3	0	.06	-	 < 0.01	9.46E-01
UTP biosynthetic process (GO:0006228)	3	0	.06	-	 < 0.01	9.46E-01
dUDP biosynthetic process (GO:0006227)	1	0	.02	-	 < 0.01	9.82E-01
dUMP biosynthetic process (GO:0006226)	2	0	.04	-	 < 0.01	9.64E-01
UDP biosynthetic process (GO:0006225)	1	0	.02	-	 < 0.01	9.82E-01
response to antibiotic (GO:0046677)	2	0	.04	-	 < 0.01	9.64E-01
septin ring assembly (GO:0000921)	1	0	.02	-	 < 0.01	9.82E-01
sexual reproduction (GO:0019953)	23	0	.42	-	 < 0.01	6.55E-01
uridine catabolic process (GO:0006218)	1	0	.02	-	 < 0.01	9.82E-01
cytidine catabolic process (GO:0006216)	2	0	.04	-	 < 0.01	9.64E-01
sterol regulatory element binding protein cleavage (GO:0035103)	2	0	.04	-	 < 0.01	9.64E-01
thymine catabolic process (GO:0006210)	2	0	.04	-	 < 0.01	9.64E-01
division septum assembly (GO:0000917)	2	0	.04	-	 < 0.01	9.64E-01
actomyosin contractile ring contraction (GO:0000916)	1	0	.02	-	 < 0.01	9.82E-01
actomyosin contractile ring assembly (GO:0000915)	8	0	.15	-	 < 0.01	8.63E-01
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	8	0	.15	-	 < 0.01	8.63E-01
cytokinesis (GO:0000910)	29	0	.53	-	 < 0.01	5.87E-01
regulation of protein binding (GO:0043393)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of DNA binding (GO:0043392)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine nucleobase catabolic process (GO:0006208)	2	0	.04	-	 < 0.01	9.64E-01
dGTP catabolic process (GO:0006203)	1	0	.02	-	 < 0.01	9.82E-01
folic acid biosynthetic process (GO:0046656)	4	0	.07	-	 < 0.01	9.29E-01
folic acid metabolic process (GO:0046655)	6	0	.11	-	 < 0.01	8.96E-01
tetrahydrofolate biosynthetic process (GO:0046654)	4	0	.07	-	 < 0.01	9.29E-01
tetrahydrofolate metabolic process (GO:0046653)	10	0	.18	-	 < 0.01	8.32E-01
cell morphogenesis (GO:0000902)	7	0	.13	-	 < 0.01	8.79E-01
positive regulation of DNA binding (GO:0043388)	1	0	.02	-	 < 0.01	9.82E-01
mycotoxin biosynthetic process (GO:0043386)	6	0	.11	-	 < 0.01	8.96E-01
mycotoxin metabolic process (GO:0043385)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	1	0	.02	-	 < 0.01	9.82E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	3	0	.06	-	 < 0.01	9.46E-01
regulation of CENP-A containing nucleosome assembly (GO:1903097)	1	0	.02	-	 < 0.01	9.82E-01
cAMP-mediated signaling (GO:0019933)	3	0	.06	-	 < 0.01	9.46E-01
second-messenger-mediated signaling (GO:0019932)	7	0	.13	-	 < 0.01	8.79E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of chromatin organization (GO:1905269)	4	0	.07	-	 < 0.01	9.29E-01
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	3	0	.06	-	 < 0.01	9.46E-01
mitotic spindle pole body duplication (GO:1903087)	1	0	.02	-	 < 0.01	9.82E-01
mitotic spindle checkpoint (GO:0071174)	12	0	.22	-	 < 0.01	8.02E-01
spindle assembly checkpoint (GO:0071173)	9	0	.17	-	 < 0.01	8.48E-01
site-specific DNA replication termination at RTS1 barrier (GO:0071171)	1	0	.02	-	 < 0.01	9.82E-01
ubiquitin-dependent endocytosis (GO:0070086)	4	0	.07	-	 < 0.01	9.29E-01
site-specific DNA replication termination (GO:0071170)	1	0	.02	-	 < 0.01	9.82E-01
protein initiator methionine removal (GO:0070084)	2	0	.04	-	 < 0.01	9.64E-01
regulation of cAMP-dependent protein kinase activity (GO:2000479)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	2	0	.04	-	 < 0.01	9.64E-01
establishment of protein localization to chromatin (GO:0071169)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to chromatin (GO:0071168)	1	0	.02	-	 < 0.01	9.82E-01
lipid storage (GO:0019915)	5	0	.09	-	 < 0.01	9.12E-01
purine nucleoside metabolic process (GO:0042278)	17	0	.31	-	 < 0.01	7.32E-01
positive regulation of protein localization to plasma membrane (GO:1903078)	2	0	.04	-	 < 0.01	9.64E-01
DNA synthesis involved in UV-damage excision repair (GO:1904161)	2	0	.04	-	 < 0.01	9.64E-01
error-prone translesion synthesis (GO:0042276)	7	0	.13	-	 < 0.01	8.79E-01
regulation of protein localization to plasma membrane (GO:1903076)	2	0	.04	-	 < 0.01	9.64E-01
DNA replication preinitiation complex assembly (GO:0071163)	2	0	.04	-	 < 0.01	9.64E-01
ribosomal large subunit biogenesis (GO:0042273)	66	0	1.21	-	 < 0.01	2.97E-01
histone lysine demethylation (GO:0070076)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of insulin receptor signaling pathway (GO:0046627)	1	0	.02	-	 < 0.01	9.82E-01
receptor-mediated endocytosis (GO:0006898)	8	0	.15	-	 < 0.01	8.63E-01
regulation of insulin receptor signaling pathway (GO:0046626)	1	0	.02	-	 < 0.01	9.82E-01
endocytosis (GO:0006897)	46	0	.84	-	 < 0.01	4.29E-01
Golgi to vacuole transport (GO:0006896)	10	0	.18	-	 < 0.01	8.32E-01
Golgi to endosome transport (GO:0006895)	6	0	.11	-	 < 0.01	8.96E-01
Golgi to plasma membrane transport (GO:0006893)	16	0	.29	-	 < 0.01	7.45E-01
post-Golgi vesicle-mediated transport (GO:0006892)	31	0	.57	-	 < 0.01	5.66E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	23	0	.42	-	 < 0.01	6.55E-01
positive regulation of mitochondrial DNA replication (GO:0090297)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitochondrial DNA replication (GO:0090296)	1	0	.02	-	 < 0.01	9.82E-01
nitrogen catabolite activation of transcription (GO:0090294)	3	0	.06	-	 < 0.01	9.46E-01
nitrogen catabolite regulation of transcription (GO:0090293)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of protein localization to cell tip (GO:1903068)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein localization to cell tip (GO:1903066)	1	0	.02	-	 < 0.01	9.82E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	51	0	.94	-	 < 0.01	3.91E-01
exocytosis (GO:0006887)	27	0	.50	-	 < 0.01	6.09E-01
cell volume homeostasis (GO:0006884)	2	0	.04	-	 < 0.01	9.64E-01
cellular zinc ion homeostasis (GO:0006882)	6	0	.11	-	 < 0.01	8.96E-01
intracellular sequestering of iron ion (GO:0006880)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of calcium ion import (GO:0090280)	1	0	.02	-	 < 0.01	9.82E-01
mature ribosome assembly (GO:0042256)	3	0	.06	-	 < 0.01	9.46E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	14	0	.26	-	 < 0.01	7.73E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	1	0	.02	-	 < 0.01	9.82E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	15	0	.28	-	 < 0.01	7.59E-01
cellular copper ion homeostasis (GO:0006878)	8	0	.15	-	 < 0.01	8.63E-01
regulation of calcium ion import (GO:0090279)	1	0	.02	-	 < 0.01	9.82E-01
regulation of direction of cell growth (GO:0061389)	3	0	.06	-	 < 0.01	9.46E-01
protein unfolding (GO:0043335)	2	0	.04	-	 < 0.01	9.64E-01
meiotic cell cycle process (GO:1903046)	51	0	.94	-	 < 0.01	3.91E-01
spore wall assembly (GO:0042244)	2	0	.04	-	 < 0.01	9.64E-01
maintenance of DNA trinucleotide repeats (GO:0035753)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine nucleotide transport (GO:0006864)	1	0	.02	-	 < 0.01	9.82E-01
purine nucleobase transport (GO:0006863)	3	0	.06	-	 < 0.01	9.46E-01
nucleotide transport (GO:0006862)	21	0	.39	-	 < 0.01	6.80E-01
interspecies interaction between organisms (GO:0044419)	5	0	.09	-	 < 0.01	9.12E-01
ncRNA catabolic process (GO:0034661)	13	0	.24	-	 < 0.01	7.88E-01
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	1	0	.02	-	 < 0.01	9.82E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	10	0	.18	-	 < 0.01	8.32E-01
Cdc42 protein signal transduction (GO:0032488)	1	0	.02	-	 < 0.01	9.82E-01
regulation of Rab protein signal transduction (GO:0032483)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein ubiquitination (GO:0031398)	5	0	.09	-	 < 0.01	9.12E-01
regulation of protein ubiquitination (GO:0031396)	6	0	.11	-	 < 0.01	8.96E-01
regulation of cell development (GO:0060284)	3	0	.06	-	 < 0.01	9.46E-01
oligopeptide transport (GO:0006857)	9	0	.17	-	 < 0.01	8.48E-01
neurogenesis (GO:0022008)	1	0	.02	-	 < 0.01	9.82E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	6	0	.11	-	 < 0.01	8.96E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial pyruvate transmembrane transport (GO:0006850)	3	0	.06	-	 < 0.01	9.46E-01
DNA replication, Okazaki fragment processing (GO:0033567)	3	0	.06	-	 < 0.01	9.46E-01
symbiotic process (GO:0044403)	1	0	.02	-	 < 0.01	9.82E-01
Golgi calcium ion transport (GO:0032472)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903026)	1	0	.02	-	 < 0.01	9.82E-01
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025)	1	0	.02	-	 < 0.01	9.82E-01
regulation of initiation of mating projection growth (GO:0031384)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mating projection assembly (GO:0031383)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands (GO:1903022)	1	0	.02	-	 < 0.01	9.82E-01
regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands (GO:1903021)	1	0	.02	-	 < 0.01	9.82E-01
pyruvate transport (GO:0006848)	3	0	.06	-	 < 0.01	9.46E-01
ergothioneine biosynthetic process (GO:0052699)	2	0	.04	-	 < 0.01	9.64E-01
ergothioneine metabolic process (GO:0052698)	2	0	.04	-	 < 0.01	9.64E-01
acetate transport (GO:0006846)	1	0	.02	-	 < 0.01	9.82E-01
acyl carnitine transport (GO:0006844)	3	0	.06	-	 < 0.01	9.46E-01
mitochondrial citrate transmembrane transport (GO:0006843)	2	0	.04	-	 < 0.01	9.64E-01
tricarboxylic acid transport (GO:0006842)	2	0	.04	-	 < 0.01	9.64E-01
cellular response to UV (GO:0034644)	9	0	.17	-	 < 0.01	8.48E-01
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	1	0	.02	-	 < 0.01	9.82E-01
Golgi calcium ion homeostasis (GO:0032468)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cytokinesis (GO:0032467)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of cytokinesis (GO:0032466)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cytokinesis (GO:0032465)	9	0	.17	-	 < 0.01	8.48E-01
protein K48-linked deubiquitination (GO:0071108)	2	0	.04	-	 < 0.01	9.64E-01
cellular modified amino acid catabolic process (GO:0042219)	7	0	.13	-	 < 0.01	8.79E-01
regulation of glycoprotein metabolic process (GO:1903018)	1	0	.02	-	 < 0.01	9.82E-01
adenosine 3',5'-bisphosphate transmembrane transport (GO:0071106)	1	0	.02	-	 < 0.01	9.82E-01
terpene metabolic process (GO:0042214)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	10	0	.18	-	 < 0.01	8.32E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	11	0	.20	-	 < 0.01	8.17E-01
mitochondrial transport (GO:0006839)	61	0	1.12	-	 < 0.01	3.25E-01
sodium ion transmembrane transport (GO:0035725)	4	0	.07	-	 < 0.01	9.29E-01
dicarboxylic acid transport (GO:0006835)	11	0	.20	-	 < 0.01	8.17E-01
water transport (GO:0006833)	1	0	.02	-	 < 0.01	9.82E-01
meiotic recombination checkpoint (GO:0051598)	1	0	.02	-	 < 0.01	9.82E-01
response to methylmercury (GO:0051597)	1	0	.02	-	 < 0.01	9.82E-01
methylglyoxal catabolic process (GO:0051596)	2	0	.04	-	 < 0.01	9.64E-01
snRNA modification (GO:0040031)	3	0	.06	-	 < 0.01	9.46E-01
microtubule anchoring at spindle pole body (GO:0034631)	1	0	.02	-	 < 0.01	9.82E-01
detection of glucose (GO:0051594)	1	0	.02	-	 < 0.01	9.82E-01
endocytic recycling (GO:0032456)	3	0	.06	-	 < 0.01	9.46E-01
regulation of spindle checkpoint (GO:0090231)	1	0	.02	-	 < 0.01	9.82E-01
