




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
creatine biosynthetic process (GO:0006601)	2	0	.10	-	 < 0.01	9.03E-01
creatine metabolic process (GO:0006600)	6	0	.31	-	 < 0.01	7.36E-01
connective tissue replacement involved in inflammatory response wound healing (GO:0002248)	5	0	.26	-	 < 0.01	7.75E-01
wound healing involved in inflammatory response (GO:0002246)	6	0	.31	-	 < 0.01	7.36E-01
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629)	1	0	.05	-	 < 0.01	9.50E-01
mastication (GO:0071626)	1	0	.05	-	 < 0.01	9.50E-01
vocalization behavior (GO:0071625)	18	0	.92	-	 < 0.01	3.99E-01
positive regulation of granulocyte chemotaxis (GO:0071624)	26	0	1.33	-	 < 0.01	2.65E-01
negative regulation of granulocyte chemotaxis (GO:0071623)	3	0	.15	-	 < 0.01	8.58E-01
regulation of granulocyte chemotaxis (GO:0071622)	47	0	2.40	-	 < 0.01	9.03E-02
granulocyte chemotaxis (GO:0071621)	80	0	4.09	-	 < 0.01	1.66E-02
response to ketamine (GO:1901986)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of inward rectifier potassium channel activity (GO:1901980)	2	0	.10	-	 < 0.01	9.03E-01
response to molecule of fungal origin (GO:0002238)	4	0	.20	-	 < 0.01	8.15E-01
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	6	0	.31	-	 < 0.01	7.36E-01
oxidative deethylation (GO:0071615)	1	0	.05	-	 < 0.01	9.50E-01
granulocyte colony-stimulating factor production (GO:0071611)	1	0	.05	-	 < 0.01	9.50E-01
regulation of inward rectifier potassium channel activity (GO:1901979)	5	0	.26	-	 < 0.01	7.75E-01
negative regulation of cell cycle checkpoint (GO:1901977)	5	0	.26	-	 < 0.01	7.75E-01
peptidyl-aspartic acid autophosphorylation (GO:1990938)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of metanephric ureteric bud development (GO:2001076)	2	0	.10	-	 < 0.01	9.03E-01
regulation of metanephric ureteric bud development (GO:2001074)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of mitotic sister chromatid separation (GO:1901970)	13	0	.66	-	 < 0.01	5.15E-01
innate immune response in mucosa (GO:0002227)	16	0	.82	-	 < 0.01	4.41E-01
positive regulation of antimicrobial peptide production (GO:0002225)	5	0	.26	-	 < 0.01	7.75E-01
chemokine (C-C motif) ligand 5 production (GO:0071609)	1	0	.05	-	 < 0.01	9.50E-01
transforming growth factor beta production (GO:0071604)	1	0	.05	-	 < 0.01	9.50E-01
endothelial cell-cell adhesion (GO:0071603)	4	0	.20	-	 < 0.01	8.15E-01
phytosphingosine biosynthetic process (GO:0071602)	1	0	.05	-	 < 0.01	9.50E-01
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	0	.05	-	 < 0.01	9.50E-01
otic vesicle morphogenesis (GO:0071600)	9	0	.46	-	 < 0.01	6.31E-01
calcium ion regulated lysosome exocytosis (GO:1990927)	2	0	.10	-	 < 0.01	9.03E-01
short-term synaptic potentiation (GO:1990926)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of cell proliferation involved in outflow tract morphogenesis (GO:1901964)	1	0	.05	-	 < 0.01	9.50E-01
regulation of cell proliferation involved in outflow tract morphogenesis (GO:1901963)	2	0	.10	-	 < 0.01	9.03E-01
S-adenosyl-L-methionine transmembrane transport (GO:1901962)	1	0	.05	-	 < 0.01	9.50E-01
defense response to nematode (GO:0002215)	2	0	.10	-	 < 0.01	9.03E-01
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	0	.05	-	 < 0.01	9.50E-01
putrescine biosynthetic process from arginine (GO:0033388)	1	0	.05	-	 < 0.01	9.50E-01
putrescine biosynthetic process from ornithine (GO:0033387)	2	0	.10	-	 < 0.01	9.03E-01
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	0	.05	-	 < 0.01	9.50E-01
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	0	.05	-	 < 0.01	9.50E-01
double-strand break repair involved in meiotic recombination (GO:1990918)	7	0	.36	-	 < 0.01	6.99E-01
maintenance of granzyme B location in T cell secretory granule (GO:0033382)	1	0	.05	-	 < 0.01	9.50E-01
reactive nitrogen species metabolic process (GO:2001057)	23	0	1.17	-	 < 0.01	3.09E-01
granzyme B localization to T cell secretory granule (GO:0033380)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of anterograde dense core granule transport (GO:1901953)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of mesenchymal cell apoptotic process (GO:2001055)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of mesenchymal cell apoptotic process (GO:2001054)	10	0	.51	-	 < 0.01	6.00E-01
regulation of anterograde dense core granule transport (GO:1901951)	2	0	.10	-	 < 0.01	9.03E-01
regulation of mesenchymal cell apoptotic process (GO:2001053)	12	0	.61	-	 < 0.01	5.42E-01
dense core granule transport (GO:1901950)	9	0	.46	-	 < 0.01	6.31E-01
response to hypobaric hypoxia (GO:1990910)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of tendon cell differentiation (GO:2001051)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of MHC class II biosynthetic process (GO:0045348)	12	0	.61	-	 < 0.01	5.42E-01
negative regulation of MHC class II biosynthetic process (GO:0045347)	6	0	.31	-	 < 0.01	7.36E-01
regulation of MHC class II biosynthetic process (GO:0045346)	17	0	.87	-	 < 0.01	4.19E-01
positive regulation of MHC class I biosynthetic process (GO:0045345)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of MHC class I biosynthetic process (GO:0045344)	1	0	.05	-	 < 0.01	9.50E-01
regulation of MHC class I biosynthetic process (GO:0045343)	8	0	.41	-	 < 0.01	6.65E-01
MHC class II biosynthetic process (GO:0045342)	1	0	.05	-	 < 0.01	9.50E-01
maintenance of protease location in T cell secretory granule (GO:0033379)	1	0	.05	-	 < 0.01	9.50E-01
maintenance of protein location in T cell secretory granule (GO:0033377)	1	0	.05	-	 < 0.01	9.50E-01
protease localization to T cell secretory granule (GO:0033375)	1	0	.05	-	 < 0.01	9.50E-01
protein localization to T cell secretory granule (GO:0033374)	1	0	.05	-	 < 0.01	9.50E-01
maintenance of protease location in mast cell secretory granule (GO:0033373)	1	0	.05	-	 < 0.01	9.50E-01
regulation of tendon cell differentiation (GO:2001049)	1	0	.05	-	 < 0.01	9.50E-01
T cell secretory granule organization (GO:0033371)	1	0	.05	-	 < 0.01	9.50E-01
maintenance of protein location in mast cell secretory granule (GO:0033370)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of integrin-mediated signaling pathway (GO:2001046)	7	0	.36	-	 < 0.01	6.99E-01
protease localization to mast cell secretory granule (GO:0033368)	1	0	.05	-	 < 0.01	9.50E-01
protein localization to mast cell secretory granule (GO:0033367)	1	0	.05	-	 < 0.01	9.50E-01
protein localization to secretory granule (GO:0033366)	4	0	.20	-	 < 0.01	8.15E-01
mast cell secretory granule organization (GO:0033364)	2	0	.10	-	 < 0.01	9.03E-01
regulation of cellular response to drug (GO:2001038)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of tongue muscle cell differentiation (GO:2001037)	2	0	.10	-	 < 0.01	9.03E-01
regulation of tongue muscle cell differentiation (GO:2001035)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of cellular glucuronidation (GO:2001031)	1	0	.05	-	 < 0.01	9.50E-01
transformation of host cell by virus (GO:0019087)	3	0	.15	-	 < 0.01	8.58E-01
late viral transcription (GO:0019086)	4	0	.20	-	 < 0.01	8.15E-01
early viral transcription (GO:0019085)	2	0	.10	-	 < 0.01	9.03E-01
carnitine biosynthetic process (GO:0045329)	5	0	.26	-	 < 0.01	7.75E-01
regulation of cellular glucuronidation (GO:2001029)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of response to drug (GO:2001024)	1	0	.05	-	 < 0.01	9.50E-01
regulation of response to drug (GO:2001023)	4	0	.20	-	 < 0.01	8.15E-01
virus maturation (GO:0019075)	2	0	.10	-	 < 0.01	9.03E-01
viral RNA genome packaging (GO:0019074)	2	0	.10	-	 < 0.01	9.03E-01
viral genome packaging (GO:0019072)	2	0	.10	-	 < 0.01	9.03E-01
asparagine catabolic process via L-aspartate (GO:0033345)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of exoribonuclease activity (GO:1901919)	1	0	.05	-	 < 0.01	9.50E-01
regulation of exoribonuclease activity (GO:1901917)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of retrograde axon cargo transport (GO:2001019)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of collagen binding (GO:0033342)	1	0	.05	-	 < 0.01	9.50E-01
regulation of collagen binding (GO:0033341)	1	0	.05	-	 < 0.01	9.50E-01
regulation of retrograde axon cargo transport (GO:2001017)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of skeletal muscle cell differentiation (GO:2001015)	6	0	.31	-	 < 0.01	7.36E-01
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	4	0	.20	-	 < 0.01	8.15E-01
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910)	4	0	.20	-	 < 0.01	8.15E-01
mesenchymal cell differentiation involved in renal system development (GO:2001012)	7	0	.36	-	 < 0.01	6.99E-01
receptor-mediated endocytosis of virus by host cell (GO:0019065)	7	0	.36	-	 < 0.01	6.99E-01
positive regulation of type IIa hypersensitivity (GO:0001798)	3	0	.15	-	 < 0.01	8.58E-01
fusion of virus membrane with host plasma membrane (GO:0019064)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of type IIa hypersensitivity (GO:0001797)	1	0	.05	-	 < 0.01	9.50E-01
regulation of type IIa hypersensitivity (GO:0001796)	4	0	.20	-	 < 0.01	8.15E-01
uncoating of virus (GO:0019061)	1	0	.05	-	 < 0.01	9.50E-01
intracellular transport of viral protein in host cell (GO:0019060)	2	0	.10	-	 < 0.01	9.03E-01
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	6	0	.31	-	 < 0.01	7.36E-01
diadenosine hexaphosphate catabolic process (GO:1901909)	4	0	.20	-	 < 0.01	8.15E-01
diadenosine hexaphosphate metabolic process (GO:1901908)	4	0	.20	-	 < 0.01	8.15E-01
diadenosine pentaphosphate catabolic process (GO:1901907)	4	0	.20	-	 < 0.01	8.15E-01
diadenosine pentaphosphate metabolic process (GO:1901906)	4	0	.20	-	 < 0.01	8.15E-01
modulation by virus of host transcription (GO:0019056)	1	0	.05	-	 < 0.01	9.50E-01
natural killer cell proliferation (GO:0001787)	1	0	.05	-	 < 0.01	9.50E-01
suppression by virus of host apoptotic process (GO:0019050)	3	0	.15	-	 < 0.01	8.58E-01
neutrophil apoptotic process (GO:0001781)	1	0	.05	-	 < 0.01	9.50E-01
neutrophil homeostasis (GO:0001780)	11	0	.56	-	 < 0.01	5.70E-01
mitotic nuclear envelope reassembly (GO:0007084)	3	0	.15	-	 < 0.01	8.58E-01
cerebrospinal fluid secretion (GO:0033326)	3	0	.15	-	 < 0.01	8.58E-01
UDP-D-xylose biosynthetic process (GO:0033320)	1	0	.05	-	 < 0.01	9.50E-01
mitigation of host defenses by virus (GO:0019049)	2	0	.10	-	 < 0.01	9.03E-01
release from viral latency (GO:0019046)	3	0	.15	-	 < 0.01	8.58E-01
natural killer cell differentiation (GO:0001779)	10	0	.51	-	 < 0.01	6.00E-01
latent virus replication (GO:0019045)	3	0	.15	-	 < 0.01	8.58E-01
plasma membrane repair (GO:0001778)	11	0	.56	-	 < 0.01	5.70E-01
T cell homeostatic proliferation (GO:0001777)	1	0	.05	-	 < 0.01	9.50E-01
establishment of viral latency (GO:0019043)	10	0	.51	-	 < 0.01	6.00E-01
viral latency (GO:0019042)	12	0	.61	-	 < 0.01	5.42E-01
telomere maintenance via telomere trimming (GO:0090737)	9	0	.46	-	 < 0.01	6.31E-01
DNA repair complex assembly (GO:0090735)	6	0	.31	-	 < 0.01	7.36E-01
mitotic chromosome movement towards spindle pole (GO:0007079)	4	0	.20	-	 < 0.01	8.15E-01
immunological synapse formation (GO:0001771)	12	0	.61	-	 < 0.01	5.42E-01
mitotic nuclear envelope disassembly (GO:0007077)	11	0	.56	-	 < 0.01	5.70E-01
establishment of natural killer cell polarity (GO:0001770)	1	0	.05	-	 < 0.01	9.50E-01
UDP-D-xylose metabolic process (GO:0033319)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of transcription involved in exit from mitosis (GO:0007072)	1	0	.05	-	 < 0.01	9.50E-01
meiotic spindle assembly checkpoint (GO:0033316)	1	0	.05	-	 < 0.01	9.50E-01
mitotic DNA replication checkpoint (GO:0033314)	9	0	.46	-	 < 0.01	6.31E-01
meiotic cell cycle checkpoint (GO:0033313)	6	0	.31	-	 < 0.01	7.36E-01
anterior/posterior pattern specification involved in ureteric bud development (GO:0072099)	1	0	.05	-	 < 0.01	9.50E-01
anterior/posterior pattern specification involved in kidney development (GO:0072098)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway (GO:0072097)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of branch elongation involved in ureteric bud branching (GO:0072096)	1	0	.05	-	 < 0.01	9.50E-01
regulation of branch elongation involved in ureteric bud branching (GO:0072095)	4	0	.20	-	 < 0.01	8.15E-01
establishment of T cell polarity (GO:0001768)	8	0	.41	-	 < 0.01	6.65E-01
establishment of lymphocyte polarity (GO:0001767)	9	0	.46	-	 < 0.01	6.31E-01
metanephric renal vesicle formation (GO:0072093)	4	0	.20	-	 < 0.01	8.15E-01
membrane raft polarization (GO:0001766)	3	0	.15	-	 < 0.01	8.58E-01
ureteric bud invasion (GO:0072092)	3	0	.15	-	 < 0.01	8.58E-01
membrane raft assembly (GO:0001765)	10	0	.51	-	 < 0.01	6.00E-01
female meiosis sister chromatid cohesion (GO:0007066)	1	0	.05	-	 < 0.01	9.50E-01
phytol metabolic process (GO:0033306)	2	0	.10	-	 < 0.01	9.03E-01
cell cycle comprising mitosis without cytokinesis (GO:0033301)	1	0	.05	-	 < 0.01	9.50E-01
renal vesicle development (GO:0072087)	14	0	.72	-	 < 0.01	4.89E-01
specification of loop of Henle identity (GO:0072086)	4	0	.20	-	 < 0.01	8.15E-01
somite specification (GO:0001757)	5	0	.26	-	 < 0.01	7.75E-01
somitogenesis (GO:0001756)	60	0	3.06	-	 < 0.01	4.64E-02
specification of nephron tubule identity (GO:0072081)	5	0	.26	-	 < 0.01	7.75E-01
eye photoreceptor cell differentiation (GO:0001754)	45	0	2.30	-	 < 0.01	1.00E-01
immunological memory formation process (GO:0090715)	1	0	.05	-	 < 0.01	9.50E-01
immunological memory process (GO:0090713)	1	0	.05	-	 < 0.01	9.50E-01
spindle assembly involved in female meiosis I (GO:0007057)	2	0	.10	-	 < 0.01	9.03E-01
spindle assembly involved in female meiosis (GO:0007056)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of optic nerve formation (GO:2000597)	1	0	.05	-	 < 0.01	9.50E-01
nephron tubule formation (GO:0072079)	18	0	.92	-	 < 0.01	3.99E-01
regulation of optic nerve formation (GO:2000595)	1	0	.05	-	 < 0.01	9.50E-01
renal vesicle morphogenesis (GO:0072077)	13	0	.66	-	 < 0.01	5.15E-01
positive regulation of metanephric DCT cell differentiation (GO:2000594)	2	0	.10	-	 < 0.01	9.03E-01
nephrogenic mesenchyme development (GO:0072076)	3	0	.15	-	 < 0.01	8.58E-01
metanephric mesenchyme development (GO:0072075)	14	0	.72	-	 < 0.01	4.89E-01
regulation of metanephric DCT cell differentiation (GO:2000592)	2	0	.10	-	 < 0.01	9.03E-01
kidney mesenchyme development (GO:0072074)	17	0	.87	-	 < 0.01	4.19E-01
positive regulation of metanephric mesenchymal cell migration (GO:2000591)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of metanephric mesenchymal cell migration (GO:2000590)	1	0	.05	-	 < 0.01	9.50E-01
kidney interstitial fibroblast differentiation (GO:0072071)	2	0	.10	-	 < 0.01	9.03E-01
loop of Henle development (GO:0072070)	11	0	.56	-	 < 0.01	5.70E-01
optic placode formation (GO:0001743)	2	0	.10	-	 < 0.01	9.03E-01
lysosomal lumen acidification (GO:0007042)	9	0	.46	-	 < 0.01	6.31E-01
regulation of metanephric mesenchymal cell migration (GO:2000589)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000588)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000587)	4	0	.20	-	 < 0.01	8.15E-01
DCT cell differentiation (GO:0072069)	1	0	.05	-	 < 0.01	9.50E-01
regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000586)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of platelet-derived growth factor receptor-alpha signaling pathway (GO:2000584)	2	0	.10	-	 < 0.01	9.03E-01
regulation of platelet-derived growth factor receptor-alpha signaling pathway (GO:2000583)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000582)	3	0	.15	-	 < 0.01	8.58E-01
regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000580)	3	0	.15	-	 < 0.01	8.58E-01
inner medullary collecting duct development (GO:0072061)	3	0	.15	-	 < 0.01	8.58E-01
outer medullary collecting duct development (GO:0072060)	1	0	.05	-	 < 0.01	9.50E-01
protein catabolic process in the vacuole (GO:0007039)	8	0	.41	-	 < 0.01	6.65E-01
formation of cytoplasmic translation initiation complex (GO:0001732)	14	0	.72	-	 < 0.01	4.89E-01
mitotic cytokinesis checkpoint (GO:0044878)	3	0	.15	-	 < 0.01	8.58E-01
lipoprotein localization to membrane (GO:0044873)	1	0	.05	-	 < 0.01	9.50E-01
lipoprotein localization (GO:0044872)	15	0	.77	-	 < 0.01	4.65E-01
negative regulation by host of viral glycoprotein metabolic process (GO:0044871)	2	0	.10	-	 < 0.01	9.03E-01
modulation by host of viral glycoprotein metabolic process (GO:0044870)	2	0	.10	-	 < 0.01	9.03E-01
cortical collecting duct development (GO:0072059)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of microtubule motor activity (GO:2000576)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of microtubule motor activity (GO:2000575)	1	0	.05	-	 < 0.01	9.50E-01
regulation of microtubule motor activity (GO:2000574)	9	0	.46	-	 < 0.01	6.31E-01
renal cortex development (GO:0072055)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of interleukin-4-dependent isotype switching to IgE isotypes (GO:2000572)	1	0	.05	-	 < 0.01	9.50E-01
renal outer medulla development (GO:0072054)	2	0	.10	-	 < 0.01	9.03E-01
regulation of interleukin-4-dependent isotype switching to IgE isotypes (GO:2000571)	1	0	.05	-	 < 0.01	9.50E-01
renal inner medulla development (GO:0072053)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of T-helper 2 cell activation (GO:2000570)	1	0	.05	-	 < 0.01	9.50E-01
juxtaglomerular apparatus development (GO:0072051)	2	0	.10	-	 < 0.01	9.03E-01
S-shaped body morphogenesis (GO:0072050)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation by host of viral exo-alpha-sialidase activity (GO:0044869)	2	0	.10	-	 < 0.01	9.03E-01
relaxation of vascular associated smooth muscle (GO:0060087)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of microtubule depolymerization (GO:0007026)	25	0	1.28	-	 < 0.01	2.79E-01
modulation by host of viral molecular function (GO:0044868)	3	0	.15	-	 < 0.01	8.58E-01
circadian temperature homeostasis (GO:0060086)	2	0	.10	-	 < 0.01	9.03E-01
modulation by host of viral catalytic activity (GO:0044867)	2	0	.10	-	 < 0.01	9.03E-01
modulation by host of viral exo-alpha-sialidase activity (GO:0044866)	2	0	.10	-	 < 0.01	9.03E-01
synaptic transmission involved in micturition (GO:0060084)	3	0	.15	-	 < 0.01	8.58E-01
post-chaperonin tubulin folding pathway (GO:0007023)	5	0	.26	-	 < 0.01	7.75E-01
smooth muscle contraction involved in micturition (GO:0060083)	3	0	.15	-	 < 0.01	8.58E-01
eye blink reflex (GO:0060082)	1	0	.05	-	 < 0.01	9.50E-01
tubulin complex assembly (GO:0007021)	9	0	.46	-	 < 0.01	6.31E-01
membrane hyperpolarization (GO:0060081)	9	0	.46	-	 < 0.01	6.31E-01
inhibitory postsynaptic potential (GO:0060080)	10	0	.51	-	 < 0.01	6.00E-01
protein transport into plasma membrane raft (GO:0044861)	2	0	.10	-	 < 0.01	9.03E-01
protein localization to plasma membrane raft (GO:0044860)	4	0	.20	-	 < 0.01	8.15E-01
regulation of neurotrophin production (GO:0032899)	2	0	.10	-	 < 0.01	9.03E-01
neurotrophin production (GO:0032898)	2	0	.10	-	 < 0.01	9.03E-01
regulation of T-helper 2 cell activation (GO:2000569)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of memory T cell activation (GO:2000568)	2	0	.10	-	 < 0.01	9.03E-01
regulation of memory T cell activation (GO:2000567)	2	0	.10	-	 < 0.01	9.03E-01
comma-shaped body morphogenesis (GO:0072049)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000566)	4	0	.20	-	 < 0.01	8.15E-01
urokinase plasminogen activator signaling pathway (GO:0038195)	2	0	.10	-	 < 0.01	9.03E-01
