




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
auditory receptor cell development (GO:0060117)	30	0	.70	-	 < 0.01	4.97E-01
vestibular receptor cell morphogenesis (GO:0060116)	2	0	.05	-	 < 0.01	9.54E-01
regulation of mitochondrial membrane permeability involved in programmed necrotic cell death (GO:1902445)	3	0	.07	-	 < 0.01	9.32E-01
vestibular receptor cell differentiation (GO:0060114)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of ripoptosome assembly involved in necroptotic process (GO:1902443)	2	0	.05	-	 < 0.01	9.54E-01
generation of ovulation cycle rhythm (GO:0060112)	3	0	.07	-	 < 0.01	9.32E-01
regulation of ripoptosome assembly involved in necroptotic process (GO:1902442)	2	0	.05	-	 < 0.01	9.54E-01
protein localization to mitotic spindle pole body (GO:1902440)	1	0	.02	-	 < 0.01	9.77E-01
sphingomyelin biosynthetic process (GO:0006686)	9	0	.21	-	 < 0.01	8.11E-01
sphingomyelin catabolic process (GO:0006685)	7	0	.16	-	 < 0.01	8.49E-01
negative regulation of superoxide anion generation (GO:0032929)	5	0	.12	-	 < 0.01	8.90E-01
sphingomyelin metabolic process (GO:0006684)	17	0	.40	-	 < 0.01	6.73E-01
regulation of superoxide anion generation (GO:0032928)	26	0	.61	-	 < 0.01	5.45E-01
galactosylceramide catabolic process (GO:0006683)	2	0	.05	-	 < 0.01	9.54E-01
galactosylceramide biosynthetic process (GO:0006682)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of activin receptor signaling pathway (GO:0032926)	12	0	.28	-	 < 0.01	7.56E-01
galactosylceramide metabolic process (GO:0006681)	8	0	.19	-	 < 0.01	8.30E-01
glucosylceramide catabolic process (GO:0006680)	2	0	.05	-	 < 0.01	9.54E-01
putrescine acetylation (GO:0032920)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of male mating behavior (GO:1902437)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of male mating behavior (GO:1902436)	1	0	.02	-	 < 0.01	9.77E-01
regulation of male mating behavior (GO:1902435)	3	0	.07	-	 < 0.01	9.32E-01
glucosylceramide biosynthetic process (GO:0006679)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of phagocytosis, engulfment (GO:0060101)	2	0	.05	-	 < 0.01	9.54E-01
glucosylceramide metabolic process (GO:0006678)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of phagocytosis, engulfment (GO:0060100)	16	0	.37	-	 < 0.01	6.89E-01
glycosylceramide metabolic process (GO:0006677)	15	0	.35	-	 < 0.01	7.05E-01
spermine acetylation (GO:0032919)	1	0	.02	-	 < 0.01	9.77E-01
spermidine acetylation (GO:0032918)	2	0	.05	-	 < 0.01	9.54E-01
polyamine acetylation (GO:0032917)	2	0	.05	-	 < 0.01	9.54E-01
phytosphingosine metabolic process (GO:0006671)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of transforming growth factor beta2 production (GO:0032915)	2	0	.05	-	 < 0.01	9.54E-01
sphingosine metabolic process (GO:0006670)	19	0	.44	-	 < 0.01	6.42E-01
negative regulation of transforming growth factor beta3 production (GO:0032913)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of transforming growth factor beta2 production (GO:0032912)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of transforming growth factor beta1 production (GO:0032911)	7	0	.16	-	 < 0.01	8.49E-01
olfactory placode morphogenesis (GO:0071699)	4	0	.09	-	 < 0.01	9.11E-01
olfactory placode development (GO:0071698)	4	0	.09	-	 < 0.01	9.11E-01
ectodermal placode morphogenesis (GO:0071697)	15	0	.35	-	 < 0.01	7.05E-01
ectodermal placode development (GO:0071696)	16	0	.37	-	 < 0.01	6.89E-01
maintenance of protein location in extracellular region (GO:0071694)	6	0	.14	-	 < 0.01	8.69E-01
deactivation of mitotic spindle assembly checkpoint (GO:1902426)	2	0	.05	-	 < 0.01	9.54E-01
protein transport within extracellular region (GO:0071693)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902425)	3	0	.07	-	 < 0.01	9.32E-01
cardiac muscle thin filament assembly (GO:0071691)	3	0	.07	-	 < 0.01	9.32E-01
regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902423)	3	0	.07	-	 < 0.01	9.32E-01
sphinganine-1-phosphate biosynthetic process (GO:0006669)	1	0	.02	-	 < 0.01	9.77E-01
sphinganine-1-phosphate metabolic process (GO:0006668)	2	0	.05	-	 < 0.01	9.54E-01
sphinganine metabolic process (GO:0006667)	3	0	.07	-	 < 0.01	9.32E-01
3-keto-sphinganine metabolic process (GO:0006666)	1	0	.02	-	 < 0.01	9.77E-01
platelet activating factor biosynthetic process (GO:0006663)	5	0	.12	-	 < 0.01	8.90E-01
glycerol ether metabolic process (GO:0006662)	19	0	.44	-	 < 0.01	6.42E-01
phosphatidylinositol biosynthetic process (GO:0006661)	57	0	1.33	-	 < 0.01	2.64E-01
phosphatidylserine catabolic process (GO:0006660)	4	0	.09	-	 < 0.01	9.11E-01
nerve growth factor production (GO:0032902)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of neurotrophin production (GO:0032901)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of neurotrophin production (GO:0032900)	1	0	.02	-	 < 0.01	9.77E-01
TORC1 signaling (GO:0038202)	9	0	.21	-	 < 0.01	8.11E-01
striated muscle myosin thick filament assembly (GO:0071688)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of mRNA binding (GO:1902416)	8	0	.19	-	 < 0.01	8.30E-01
regulation of mRNA binding (GO:1902415)	10	0	.23	-	 < 0.01	7.92E-01
cellular response to indole-3-methanol (GO:0071681)	5	0	.12	-	 < 0.01	8.90E-01
response to indole-3-methanol (GO:0071680)	5	0	.12	-	 < 0.01	8.90E-01
regulation of mitotic cytokinesis (GO:1902412)	5	0	.12	-	 < 0.01	8.90E-01
phosphatidylserine biosynthetic process (GO:0006659)	4	0	.09	-	 < 0.01	9.11E-01
mitotic cytokinetic process (GO:1902410)	19	0	.44	-	 < 0.01	6.42E-01
CDP-choline pathway (GO:0006657)	2	0	.05	-	 < 0.01	9.54E-01
phosphatidylcholine biosynthetic process (GO:0006656)	16	0	.37	-	 < 0.01	6.89E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	9	0	.21	-	 < 0.01	8.11E-01
1,2-diacyl-sn-glycero-3-phosphocholine metabolic process (GO:0006653)	1	0	.02	-	 < 0.01	9.77E-01
alpha-beta intraepithelial T cell differentiation (GO:0002299)	1	0	.02	-	 < 0.01	9.77E-01
T-helper 1 cell lineage commitment (GO:0002296)	4	0	.09	-	 < 0.01	9.11E-01
T-helper cell lineage commitment (GO:0002295)	13	0	.30	-	 < 0.01	7.38E-01
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	33	0	.77	-	 < 0.01	4.63E-01
alpha-beta T cell differentiation involved in immune response (GO:0002293)	35	0	.82	-	 < 0.01	4.42E-01
T cell differentiation involved in immune response (GO:0002292)	39	0	.91	-	 < 0.01	4.02E-01
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	4	0	.09	-	 < 0.01	9.11E-01
olfactory bulb axon guidance (GO:0071678)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of mononuclear cell migration (GO:0071676)	16	0	.37	-	 < 0.01	6.89E-01
positive regulation of smooth muscle cell chemotaxis (GO:0071673)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of smooth muscle cell chemotaxis (GO:0071672)	3	0	.07	-	 < 0.01	9.32E-01
regulation of smooth muscle cell chemotaxis (GO:0071671)	6	0	.14	-	 < 0.01	8.69E-01
signal transduction involved in mitotic DNA integrity checkpoint (GO:1902403)	13	0	.30	-	 < 0.01	7.38E-01
smooth muscle cell chemotaxis (GO:0071670)	2	0	.05	-	 < 0.01	9.54E-01
signal transduction involved in mitotic DNA damage checkpoint (GO:1902402)	13	0	.30	-	 < 0.01	7.38E-01
phospholipid transfer to membrane (GO:0006649)	2	0	.05	-	 < 0.01	9.54E-01
intracellular signal transduction involved in G1 DNA damage checkpoint (GO:1902400)	11	0	.26	-	 < 0.01	7.74E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	10	0	.23	-	 < 0.01	7.92E-01
alpha-beta T cell activation involved in immune response (GO:0002287)	36	0	.84	-	 < 0.01	4.32E-01
T cell activation involved in immune response (GO:0002286)	72	0	1.68	-	 < 0.01	1.86E-01
neutrophil activation involved in immune response (GO:0002283)	11	0	.26	-	 < 0.01	7.74E-01
monocyte activation involved in immune response (GO:0002280)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of granzyme B production (GO:0071663)	3	0	.07	-	 < 0.01	9.32E-01
regulation of granzyme B production (GO:0071661)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of IP-10 production (GO:0071660)	1	0	.02	-	 < 0.01	9.77E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	28	0	.65	-	 < 0.01	5.20E-01
tRNA demethylation (GO:1990983)	1	0	.02	-	 < 0.01	9.77E-01
mast cell activation involved in immune response (GO:0002279)	19	0	.44	-	 < 0.01	6.42E-01
eosinophil activation involved in immune response (GO:0002278)	2	0	.05	-	 < 0.01	9.54E-01
myeloid dendritic cell activation involved in immune response (GO:0002277)	3	0	.07	-	 < 0.01	9.32E-01
basophil activation involved in immune response (GO:0002276)	3	0	.07	-	 < 0.01	9.32E-01
plasmacytoid dendritic cell differentiation (GO:0002273)	1	0	.02	-	 < 0.01	9.77E-01
plasmacytoid dendritic cell activation (GO:0002270)	3	0	.07	-	 < 0.01	9.32E-01
regulation of IP-10 production (GO:0071658)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of granulocyte colony-stimulating factor production (GO:0071657)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of granulocyte colony-stimulating factor production (GO:0071656)	1	0	.02	-	 < 0.01	9.77E-01
regulation of granulocyte colony-stimulating factor production (GO:0071655)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of chemokine (C-C motif) ligand 1 production (GO:0071654)	1	0	.02	-	 < 0.01	9.77E-01
regulation of chemokine (C-C motif) ligand 1 production (GO:0071652)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of chemokine (C-C motif) ligand 5 production (GO:0071651)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of chemokine (C-C motif) ligand 5 production (GO:0071650)	4	0	.09	-	 < 0.01	9.11E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	0	.12	-	 < 0.01	8.90E-01
protein targeting to mitochondrion (GO:0006626)	53	0	1.24	-	 < 0.01	2.90E-01
protein targeting to peroxisome (GO:0006625)	18	0	.42	-	 < 0.01	6.57E-01
vacuolar protein processing (GO:0006624)	3	0	.07	-	 < 0.01	9.32E-01
leukocyte activation involved in inflammatory response (GO:0002269)	3	0	.07	-	 < 0.01	9.32E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	13	0	.30	-	 < 0.01	7.38E-01
follicular dendritic cell differentiation (GO:0002268)	2	0	.05	-	 < 0.01	9.54E-01
follicular dendritic cell activation (GO:0002266)	2	0	.05	-	 < 0.01	9.54E-01
astrocyte activation involved in immune response (GO:0002265)	4	0	.09	-	 < 0.01	9.11E-01
lymphocyte homeostasis (GO:0002260)	65	0	1.52	-	 < 0.01	2.19E-01
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of chemokine (C-C motif) ligand 4 production (GO:0071644)	1	0	.02	-	 < 0.01	9.77E-01
regulation of chemokine (C-C motif) ligand 4 production (GO:0071643)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of macrophage inflammatory protein 1 alpha production (GO:0071642)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of macrophage inflammatory protein 1 alpha production (GO:0071641)	3	0	.07	-	 < 0.01	9.32E-01
regulation of macrophage inflammatory protein 1 alpha production (GO:0071640)	6	0	.14	-	 < 0.01	8.69E-01
modulation by host of viral RNA-binding transcription factor activity (GO:1990969)	1	0	.02	-	 < 0.01	9.77E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	0	.02	-	 < 0.01	9.77E-01
modulation by host of RNA binding by virus (GO:1990968)	1	0	.02	-	 < 0.01	9.77E-01
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	7	0	.16	-	 < 0.01	8.49E-01
ATP generation from poly-ADP-D-ribose (GO:1990966)	4	0	.09	-	 < 0.01	9.11E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	15	0	.35	-	 < 0.01	7.05E-01
cotranslational protein targeting to membrane (GO:0006613)	16	0	.37	-	 < 0.01	6.89E-01
establishment of blood-retinal barrier (GO:1990963)	2	0	.05	-	 < 0.01	9.54E-01
xenobiotic transport across blood-brain barrier (GO:1990962)	5	0	.12	-	 < 0.01	8.90E-01
ribosomal protein import into nucleus (GO:0006610)	3	0	.07	-	 < 0.01	9.32E-01
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	8	0	.19	-	 < 0.01	8.30E-01
basophil homeostasis (GO:1990960)	1	0	.02	-	 < 0.01	9.77E-01
tissue kallikrein-kinin cascade (GO:0002255)	1	0	.02	-	 < 0.01	9.77E-01
kinin cascade (GO:0002254)	3	0	.07	-	 < 0.01	9.32E-01
organ or tissue specific immune response (GO:0002251)	47	0	1.10	-	 < 0.01	3.34E-01
positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	12	0	.28	-	 < 0.01	7.56E-01
negative regulation of monocyte chemotactic protein-1 production (GO:0071638)	6	0	.14	-	 < 0.01	8.69E-01
regulation of monocyte chemotactic protein-1 production (GO:0071637)	18	0	.42	-	 < 0.01	6.57E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	2	0	.05	-	 < 0.01	9.54E-01
homogentisate metabolic process (GO:1901999)	1	0	.02	-	 < 0.01	9.77E-01
toxin transport (GO:1901998)	45	0	1.05	-	 < 0.01	3.50E-01
eosinophil homeostasis (GO:1990959)	1	0	.02	-	 < 0.01	9.77E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	0	.23	-	 < 0.01	7.92E-01
positive regulation of meiotic cell cycle phase transition (GO:1901995)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of meiotic cell cycle phase transition (GO:1901994)	4	0	.09	-	 < 0.01	9.11E-01
phosphocreatine metabolic process (GO:0006603)	4	0	.09	-	 < 0.01	9.11E-01
regulation of meiotic cell cycle phase transition (GO:1901993)	8	0	.19	-	 < 0.01	8.30E-01
intramanchette transport (GO:1990953)	1	0	.02	-	 < 0.01	9.77E-01
creatine biosynthetic process (GO:0006601)	2	0	.05	-	 < 0.01	9.54E-01
creatine metabolic process (GO:0006600)	2	0	.05	-	 < 0.01	9.54E-01
connective tissue replacement involved in inflammatory response wound healing (GO:0002248)	5	0	.12	-	 < 0.01	8.90E-01
wound healing involved in inflammatory response (GO:0002246)	8	0	.19	-	 < 0.01	8.30E-01
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629)	1	0	.02	-	 < 0.01	9.77E-01
mastication (GO:0071626)	2	0	.05	-	 < 0.01	9.54E-01
vocalization behavior (GO:0071625)	19	0	.44	-	 < 0.01	6.42E-01
positive regulation of granulocyte chemotaxis (GO:0071624)	27	0	.63	-	 < 0.01	5.33E-01
negative regulation of granulocyte chemotaxis (GO:0071623)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of protein acetylation (GO:1901984)	25	0	.58	-	 < 0.01	5.58E-01
positive regulation of inward rectifier potassium channel activity (GO:1901980)	1	0	.02	-	 < 0.01	9.77E-01
response to molecule of fungal origin (GO:0002238)	6	0	.14	-	 < 0.01	8.69E-01
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	7	0	.16	-	 < 0.01	8.49E-01
positive regulation of defense response to virus by host (GO:0002230)	31	0	.72	-	 < 0.01	4.85E-01
acyl-CoA biosynthetic process (GO:0071616)	21	0	.49	-	 < 0.01	6.13E-01
regulation of inward rectifier potassium channel activity (GO:1901979)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of cell cycle checkpoint (GO:1901978)	8	0	.19	-	 < 0.01	8.30E-01
negative regulation of cell cycle checkpoint (GO:1901977)	8	0	.19	-	 < 0.01	8.30E-01
peptidyl-aspartic acid autophosphorylation (GO:1990938)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of metanephric ureteric bud development (GO:2001076)	1	0	.02	-	 < 0.01	9.77E-01
regulation of metanephric ureteric bud development (GO:2001074)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of mitotic sister chromatid separation (GO:1901970)	13	0	.30	-	 < 0.01	7.38E-01
natural killer cell mediated immunity (GO:0002228)	14	0	.33	-	 < 0.01	7.21E-01
innate immune response in mucosa (GO:0002227)	33	0	.77	-	 < 0.01	4.63E-01
positive regulation of antimicrobial peptide production (GO:0002225)	6	0	.14	-	 < 0.01	8.69E-01
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	4	0	.09	-	 < 0.01	9.11E-01
stimulatory killer cell immunoglobulin-like receptor signaling pathway (GO:0002222)	1	0	.02	-	 < 0.01	9.77E-01
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	7	0	.16	-	 < 0.01	8.49E-01
chemokine (C-C motif) ligand 5 production (GO:0071609)	1	0	.02	-	 < 0.01	9.77E-01
macrophage inflammatory protein-1 alpha production (GO:0071608)	1	0	.02	-	 < 0.01	9.77E-01
transforming growth factor beta production (GO:0071604)	3	0	.07	-	 < 0.01	9.32E-01
endothelial cell-cell adhesion (GO:0071603)	2	0	.05	-	 < 0.01	9.54E-01
phytosphingosine biosynthetic process (GO:0071602)	1	0	.02	-	 < 0.01	9.77E-01
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	0	.02	-	 < 0.01	9.77E-01
calcium ion regulated lysosome exocytosis (GO:1990927)	2	0	.05	-	 < 0.01	9.54E-01
short-term synaptic potentiation (GO:1990926)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of cell proliferation involved in outflow tract morphogenesis (GO:1901964)	1	0	.02	-	 < 0.01	9.77E-01
regulation of cell proliferation involved in outflow tract morphogenesis (GO:1901963)	3	0	.07	-	 < 0.01	9.32E-01
defense response to nematode (GO:0002215)	3	0	.07	-	 < 0.01	9.32E-01
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	0	.02	-	 < 0.01	9.77E-01
putrescine biosynthetic process from arginine (GO:0033388)	1	0	.02	-	 < 0.01	9.77E-01
putrescine biosynthetic process from ornithine (GO:0033387)	3	0	.07	-	 < 0.01	9.32E-01
double-strand break repair involved in meiotic recombination (GO:1990918)	6	0	.14	-	 < 0.01	8.69E-01
maintenance of granzyme B location in T cell secretory granule (GO:0033382)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of retrograde dense core granule transport (GO:1901956)	1	0	.02	-	 < 0.01	9.77E-01
reactive nitrogen species metabolic process (GO:2001057)	20	0	.47	-	 < 0.01	6.27E-01
granzyme B localization to T cell secretory granule (GO:0033380)	1	0	.02	-	 < 0.01	9.77E-01
regulation of retrograde dense core granule transport (GO:1901954)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of anterograde dense core granule transport (GO:1901953)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of mesenchymal cell apoptotic process (GO:2001055)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of mesenchymal cell apoptotic process (GO:2001054)	12	0	.28	-	 < 0.01	7.56E-01
regulation of anterograde dense core granule transport (GO:1901951)	3	0	.07	-	 < 0.01	9.32E-01
regulation of mesenchymal cell apoptotic process (GO:2001053)	15	0	.35	-	 < 0.01	7.05E-01
response to psychosocial stress (GO:1990911)	2	0	.05	-	 < 0.01	9.54E-01
somatic diversification of immunoglobulins involved in immune response (GO:0002208)	20	0	.47	-	 < 0.01	6.27E-01
positive regulation of tendon cell differentiation (GO:2001051)	1	0	.02	-	 < 0.01	9.77E-01
somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)	20	0	.47	-	 < 0.01	6.27E-01
somatic diversification of immune receptors (GO:0002200)	43	0	1.00	-	 < 0.01	3.67E-01
negative regulation of MHC class II biosynthetic process (GO:0045347)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of MHC class I biosynthetic process (GO:0045344)	1	0	.02	-	 < 0.01	9.77E-01
MHC class II biosynthetic process (GO:0045342)	1	0	.02	-	 < 0.01	9.77E-01
maintenance of protease location in T cell secretory granule (GO:0033379)	1	0	.02	-	 < 0.01	9.77E-01
maintenance of protein location in T cell secretory granule (GO:0033377)	1	0	.02	-	 < 0.01	9.77E-01
protease localization to T cell secretory granule (GO:0033375)	1	0	.02	-	 < 0.01	9.77E-01
protein localization to T cell secretory granule (GO:0033374)	1	0	.02	-	 < 0.01	9.77E-01
maintenance of protease location in mast cell secretory granule (GO:0033373)	1	0	.02	-	 < 0.01	9.77E-01
regulation of tendon cell differentiation (GO:2001049)	1	0	.02	-	 < 0.01	9.77E-01
T cell secretory granule organization (GO:0033371)	1	0	.02	-	 < 0.01	9.77E-01
maintenance of protein location in mast cell secretory granule (GO:0033370)	1	0	.02	-	 < 0.01	9.77E-01
protease localization to mast cell secretory granule (GO:0033368)	1	0	.02	-	 < 0.01	9.77E-01
protein localization to mast cell secretory granule (GO:0033367)	1	0	.02	-	 < 0.01	9.77E-01
protein localization to secretory granule (GO:0033366)	4	0	.09	-	 < 0.01	9.11E-01
mast cell secretory granule organization (GO:0033364)	2	0	.05	-	 < 0.01	9.54E-01
