




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.30	-	 < 0.01	7.37E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	2	0	.20	-	 < 0.01	8.16E-01
mitotic recombination (GO:0006312)	9	0	.91	-	 < 0.01	4.00E-01
defense response to fungus (GO:0050832)	2	0	.20	-	 < 0.01	8.16E-01
cytoplasmic mRNA processing body assembly (GO:0033962)	10	0	1.02	-	 < 0.01	3.62E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	17	0	1.73	-	 < 0.01	1.77E-01
nucleotide transmembrane transport (GO:1901679)	2	0	.20	-	 < 0.01	8.16E-01
postreplication repair (GO:0006301)	15	0	1.52	-	 < 0.01	2.17E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	23	0	2.34	-	 < 0.01	9.63E-02
cellular response to insulin stimulus (GO:0032869)	27	0	2.74	-	 < 0.01	6.41E-02
cytokinetic process (GO:0032506)	6	0	.61	-	 < 0.01	5.43E-01
response to insulin (GO:0032868)	28	0	2.85	-	 < 0.01	5.79E-02
IMP metabolic process (GO:0046040)	6	0	.61	-	 < 0.01	5.43E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	13	0	1.32	-	 < 0.01	2.67E-01
epidermal cell differentiation (GO:0009913)	7	0	.71	-	 < 0.01	4.91E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	1	0	.10	-	 < 0.01	9.03E-01
negative regulation of coagulation (GO:0050819)	5	0	.51	-	 < 0.01	6.01E-01
cardiac muscle cell development (GO:0055013)	6	0	.61	-	 < 0.01	5.43E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	19	0	1.93	-	 < 0.01	1.45E-01
regulation of membrane permeability (GO:0090559)	4	0	.41	-	 < 0.01	6.66E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	.71	-	 < 0.01	4.91E-01
melanocyte differentiation (GO:0030318)	3	0	.30	-	 < 0.01	7.37E-01
striated muscle cell development (GO:0055002)	21	0	2.13	-	 < 0.01	1.18E-01
muscle cell development (GO:0055001)	23	0	2.34	-	 < 0.01	9.63E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	.61	-	 < 0.01	5.43E-01
ERBB signaling pathway (GO:0038127)	22	0	2.24	-	 < 0.01	1.07E-01
T cell activation involved in immune response (GO:0002286)	16	0	1.63	-	 < 0.01	1.96E-01
lymphocyte activation involved in immune response (GO:0002285)	19	0	1.93	-	 < 0.01	1.45E-01
response to steroid hormone (GO:0048545)	16	0	1.63	-	 < 0.01	1.96E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	0	.51	-	 < 0.01	6.01E-01
heart morphogenesis (GO:0003007)	16	0	1.63	-	 < 0.01	1.96E-01
vacuolar protein processing (GO:0006624)	3	0	.30	-	 < 0.01	7.37E-01
cellular response to light stimulus (GO:0071482)	12	0	1.22	-	 < 0.01	2.95E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	10	0	1.02	-	 < 0.01	3.62E-01
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	13	0	1.32	-	 < 0.01	2.67E-01
cellular response to osmotic stress (GO:0071470)	1	0	.10	-	 < 0.01	9.03E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	23	0	2.34	-	 < 0.01	9.63E-02
G2/M transition of mitotic cell cycle (GO:0000086)	20	0	2.03	-	 < 0.01	1.31E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	6	0	.61	-	 < 0.01	5.43E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	8	0	.81	-	 < 0.01	4.43E-01
amino sugar catabolic process (GO:0046348)	8	0	.81	-	 < 0.01	4.43E-01
protein K48-linked deubiquitination (GO:0071108)	8	0	.81	-	 < 0.01	4.43E-01
complement activation (GO:0006956)	8	0	.81	-	 < 0.01	4.43E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	5	0	.51	-	 < 0.01	6.01E-01
cellular response to hypoxia (GO:0071456)	8	0	.81	-	 < 0.01	4.43E-01
smooth muscle contraction (GO:0006939)	8	0	.81	-	 < 0.01	4.43E-01
regulation of muscle contraction (GO:0006937)	9	0	.91	-	 < 0.01	4.00E-01
ribosomal subunit export from nucleus (GO:0000054)	11	0	1.12	-	 < 0.01	3.27E-01
determination of heart left/right asymmetry (GO:0061371)	12	0	1.22	-	 < 0.01	2.95E-01
positive regulation of T cell differentiation (GO:0045582)	6	0	.61	-	 < 0.01	5.43E-01
regulation of signaling receptor activity (GO:0010469)	30	0	3.05	-	 < 0.01	4.72E-02
centrosome duplication (GO:0051298)	20	0	2.03	-	 < 0.01	1.31E-01
male sex differentiation (GO:0046661)	6	0	.61	-	 < 0.01	5.43E-01
sarcomere organization (GO:0045214)	6	0	.61	-	 < 0.01	5.43E-01
calcium ion transmembrane import into cytosol (GO:0097553)	21	0	2.13	-	 < 0.01	1.18E-01
protein N-linked glycosylation via asparagine (GO:0018279)	8	0	.81	-	 < 0.01	4.43E-01
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	4	0	.41	-	 < 0.01	6.66E-01
somatic diversification of immune receptors (GO:0002200)	4	0	.41	-	 < 0.01	6.66E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	6	0	.61	-	 < 0.01	5.43E-01
negative regulation of sequestering of calcium ion (GO:0051283)	11	0	1.12	-	 < 0.01	3.27E-01
regulation of sequestering of calcium ion (GO:0051282)	11	0	1.12	-	 < 0.01	3.27E-01
triglyceride homeostasis (GO:0070328)	7	0	.71	-	 < 0.01	4.91E-01
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	3	0	.30	-	 < 0.01	7.37E-01
central nervous system neuron differentiation (GO:0021953)	5	0	.51	-	 < 0.01	6.01E-01
cellular alcohol metabolic process (GO:0044107)	1	0	.10	-	 < 0.01	9.03E-01
protein localization to cell surface (GO:0034394)	7	0	.71	-	 < 0.01	4.91E-01
regulation of autophagosome assembly (GO:2000785)	8	0	.81	-	 < 0.01	4.43E-01
centriole replication (GO:0007099)	15	0	1.52	-	 < 0.01	2.17E-01
nuclear migration (GO:0007097)	5	0	.51	-	 < 0.01	6.01E-01
regulation of exit from mitosis (GO:0007096)	2	0	.20	-	 < 0.01	8.16E-01
mitotic G2 DNA damage checkpoint (GO:0007095)	6	0	.61	-	 < 0.01	5.43E-01
regulation of mitotic spindle organization (GO:0060236)	4	0	.41	-	 < 0.01	6.66E-01
positive regulation of immunoglobulin mediated immune response (GO:0002891)	5	0	.51	-	 < 0.01	6.01E-01
Golgi to plasma membrane protein transport (GO:0043001)	11	0	1.12	-	 < 0.01	3.27E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	5	0	.51	-	 < 0.01	6.01E-01
purine nucleoside metabolic process (GO:0042278)	11	0	1.12	-	 < 0.01	3.27E-01
plasma lipoprotein particle clearance (GO:0034381)	3	0	.30	-	 < 0.01	7.37E-01
forebrain development (GO:0030900)	10	0	1.02	-	 < 0.01	3.62E-01
vitamin transmembrane transport (GO:0035461)	2	0	.20	-	 < 0.01	8.16E-01
glucan biosynthetic process (GO:0009250)	10	0	1.02	-	 < 0.01	3.62E-01
mannosylation (GO:0097502)	8	0	.81	-	 < 0.01	4.43E-01
transposition (GO:0032196)	11	0	1.12	-	 < 0.01	3.27E-01
neural tube development (GO:0021915)	2	0	.20	-	 < 0.01	8.16E-01
negative regulation of DNA replication (GO:0008156)	7	0	.71	-	 < 0.01	4.91E-01
peptidyl-arginine methylation (GO:0018216)	3	0	.30	-	 < 0.01	7.37E-01
septin cytoskeleton organization (GO:0032185)	2	0	.20	-	 < 0.01	8.16E-01
oxidative demethylation (GO:0070989)	10	0	1.02	-	 < 0.01	3.62E-01
demethylation (GO:0070988)	30	0	3.05	-	 < 0.01	4.72E-02
plasma membrane phospholipid scrambling (GO:0017121)	8	0	.81	-	 < 0.01	4.43E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	18	0	1.83	-	 < 0.01	1.60E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	6	0	.61	-	 < 0.01	5.43E-01
cell cycle arrest (GO:0007050)	12	0	1.22	-	 < 0.01	2.95E-01
cartilage development (GO:0051216)	9	0	.91	-	 < 0.01	4.00E-01
nucleotide-sugar metabolic process (GO:0009225)	12	0	1.22	-	 < 0.01	2.95E-01
morphogenesis of a branching structure (GO:0001763)	3	0	.30	-	 < 0.01	7.37E-01
protein K11-linked ubiquitination (GO:0070979)	7	0	.71	-	 < 0.01	4.91E-01
response to type I interferon (GO:0034340)	5	0	.51	-	 < 0.01	6.01E-01
glucose homeostasis (GO:0042593)	15	0	1.52	-	 < 0.01	2.17E-01
aerobic electron transport chain (GO:0019646)	8	0	.81	-	 < 0.01	4.43E-01
multi-organism cellular process (GO:0044764)	1	0	.10	-	 < 0.01	9.03E-01
cell-substrate junction assembly (GO:0007044)	5	0	.51	-	 < 0.01	6.01E-01
release of sequestered calcium ion into cytosol (GO:0051209)	10	0	1.02	-	 < 0.01	3.62E-01
lysosome organization (GO:0007040)	11	0	1.12	-	 < 0.01	3.27E-01
sequestering of calcium ion (GO:0051208)	11	0	1.12	-	 < 0.01	3.27E-01
mitochondrial calcium ion homeostasis (GO:0051560)	4	0	.41	-	 < 0.01	6.66E-01
positive regulation of mitotic nuclear division (GO:0045840)	11	0	1.12	-	 < 0.01	3.27E-01
protein catabolic process in the vacuole (GO:0007039)	11	0	1.12	-	 < 0.01	3.27E-01
skeletal muscle organ development (GO:0060538)	4	0	.41	-	 < 0.01	6.66E-01
endosome organization (GO:0007032)	8	0	.81	-	 < 0.01	4.43E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	6	0	.61	-	 < 0.01	5.43E-01
translesion synthesis (GO:0019985)	8	0	.81	-	 < 0.01	4.43E-01
establishment of planar polarity (GO:0001736)	4	0	.41	-	 < 0.01	6.66E-01
regulation of mitochondrial membrane permeability (GO:0046902)	3	0	.30	-	 < 0.01	7.37E-01
positive regulation of protein kinase B signaling (GO:0051897)	5	0	.51	-	 < 0.01	6.01E-01
regulation of protein kinase B signaling (GO:0051896)	11	0	1.12	-	 < 0.01	3.27E-01
inner mitochondrial membrane organization (GO:0007007)	14	0	1.42	-	 < 0.01	2.41E-01
determination of left/right symmetry (GO:0007368)	13	0	1.32	-	 < 0.01	2.67E-01
mitochondrial membrane organization (GO:0007006)	22	0	2.24	-	 < 0.01	1.07E-01
Golgi vesicle budding (GO:0048194)	19	0	1.93	-	 < 0.01	1.45E-01
negative regulation of protein ubiquitination (GO:0031397)	5	0	.51	-	 < 0.01	6.01E-01
cell wall biogenesis (GO:0042546)	1	0	.10	-	 < 0.01	9.03E-01
histone H4-K16 acetylation (GO:0043984)	4	0	.41	-	 < 0.01	6.66E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	0	.51	-	 < 0.01	6.01E-01
intraciliary retrograde transport (GO:0035721)	7	0	.71	-	 < 0.01	4.91E-01
cGMP-mediated signaling (GO:0019934)	9	0	.91	-	 < 0.01	4.00E-01
mitochondrial RNA processing (GO:0000963)	4	0	.41	-	 < 0.01	6.66E-01
binding of sperm to zona pellucida (GO:0007339)	8	0	.81	-	 < 0.01	4.43E-01
mitochondrial protein processing (GO:0034982)	7	0	.71	-	 < 0.01	4.91E-01
regulation of ossification (GO:0030278)	5	0	.51	-	 < 0.01	6.01E-01
determination of bilateral symmetry (GO:0009855)	13	0	1.32	-	 < 0.01	2.67E-01
melanosome organization (GO:0032438)	6	0	.61	-	 < 0.01	5.43E-01
catecholamine metabolic process (GO:0006584)	6	0	.61	-	 < 0.01	5.43E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	6	0	.61	-	 < 0.01	5.43E-01
pyrimidine nucleotide metabolic process (GO:0006220)	8	0	.81	-	 < 0.01	4.43E-01
tyrosine metabolic process (GO:0006570)	5	0	.51	-	 < 0.01	6.01E-01
lysosome localization (GO:0032418)	10	0	1.02	-	 < 0.01	3.62E-01
COPII-coated vesicle budding (GO:0090114)	14	0	1.42	-	 < 0.01	2.41E-01
positive regulation of inflammatory response (GO:0050729)	3	0	.30	-	 < 0.01	7.37E-01
negative regulation of inflammatory response (GO:0050728)	14	0	1.42	-	 < 0.01	2.41E-01
regulation of inflammatory response (GO:0050727)	21	0	2.13	-	 < 0.01	1.18E-01
myofibril assembly (GO:0030239)	20	0	2.03	-	 < 0.01	1.31E-01
actomyosin contractile ring assembly (GO:0000915)	2	0	.20	-	 < 0.01	8.16E-01
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	2	0	.20	-	 < 0.01	8.16E-01
secondary alcohol biosynthetic process (GO:1902653)	5	0	.51	-	 < 0.01	6.01E-01
execution phase of apoptosis (GO:0097194)	8	0	.81	-	 < 0.01	4.43E-01
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	19	0	1.93	-	 < 0.01	1.45E-01
erythrocyte differentiation (GO:0030218)	7	0	.71	-	 < 0.01	4.91E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	15	0	1.52	-	 < 0.01	2.17E-01
Golgi to endosome transport (GO:0006895)	2	0	.20	-	 < 0.01	8.16E-01
Golgi to plasma membrane transport (GO:0006893)	21	0	2.13	-	 < 0.01	1.18E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	22	0	2.24	-	 < 0.01	1.07E-01
cellular response to steroid hormone stimulus (GO:0071383)	13	0	1.32	-	 < 0.01	2.67E-01
cellular copper ion homeostasis (GO:0006878)	1	0	.10	-	 < 0.01	9.03E-01
zymogen activation (GO:0031638)	11	0	1.12	-	 < 0.01	3.27E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	10	0	1.02	-	 < 0.01	3.62E-01
mitotic DNA replication (GO:1902969)	7	0	.71	-	 < 0.01	4.91E-01
GPI anchor biosynthetic process (GO:0006506)	17	0	1.73	-	 < 0.01	1.77E-01
GPI anchor metabolic process (GO:0006505)	18	0	1.83	-	 < 0.01	1.60E-01
nucleotide transport (GO:0006862)	2	0	.20	-	 < 0.01	8.16E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	2	0	.20	-	 < 0.01	8.16E-01
leucine transport (GO:0015820)	2	0	.20	-	 < 0.01	8.16E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	6	0	.61	-	 < 0.01	5.43E-01
mammary gland development (GO:0030879)	1	0	.10	-	 < 0.01	9.03E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18	0	1.83	-	 < 0.01	1.60E-01
outer dynein arm assembly (GO:0036158)	6	0	.61	-	 < 0.01	5.43E-01
dicarboxylic acid transport (GO:0006835)	7	0	.71	-	 < 0.01	4.91E-01
glucan metabolic process (GO:0044042)	14	0	1.42	-	 < 0.01	2.41E-01
neutral amino acid transport (GO:0015804)	24	0	2.44	-	 < 0.01	8.70E-02
branched-chain amino acid transport (GO:0015803)	2	0	.20	-	 < 0.01	8.16E-01
basic amino acid transport (GO:0015802)	5	0	.51	-	 < 0.01	6.01E-01
cell wall macromolecule biosynthetic process (GO:0044038)	1	0	.10	-	 < 0.01	9.03E-01
cell wall macromolecule metabolic process (GO:0044036)	1	0	.10	-	 < 0.01	9.03E-01
regulation of epithelial cell differentiation (GO:0030856)	5	0	.51	-	 < 0.01	6.01E-01
cardiocyte differentiation (GO:0035051)	7	0	.71	-	 < 0.01	4.91E-01
embryonic heart tube development (GO:0035050)	12	0	1.22	-	 < 0.01	2.95E-01
glial cell differentiation (GO:0010001)	7	0	.71	-	 < 0.01	4.91E-01
negative regulation of chromatin silencing (GO:0031936)	5	0	.51	-	 < 0.01	6.01E-01
regulation of chromatin silencing (GO:0031935)	7	0	.71	-	 < 0.01	4.91E-01
protein localization to cytoskeleton (GO:0044380)	8	0	.81	-	 < 0.01	4.43E-01
